Year,Round,Status,PickValue,TradeDetails
2027,1,Own,14.49,
2027,2,Acquired from Rangers,5.71,Jul 1 2024 The New York Rangers acquired Reilly Smith from the Pittsburgh Penguins for a 2027 2nd round pick and conditional 2025 5th round pick
2027,2,Own,5.71,
2027,3,Acquired from Devils,2.05,"Mar 7 2025 The New Jersey Devils acquired Cody Glass and Jonathan Gruden from the Pittsburgh Penguins for Chase Stillman, Max Graham, and a 2027 3rd round pick"
2027,3,Traded Away,2.05,Jun 25 2026 | Traded Away The Pittsburgh Penguins acquire Hendrix Lapierre from the Washington Capitals for a 2027 3rd round pick and a 2028 5th round pick (SJS)
2027,4,Traded Away,0.98,Jul 13 2025 | Traded Away The Pittsburgh Penguins acquired Arturs Silovs from the Vancouver Canucks for Chase Stillman and a 2027 4th round pick
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,14.49,
2028,2,Own,5.71,
2028,2,Acquired from Stars,5.71,Jul 10 2025 The Pittsburgh Penguins acquired Matt Dumba and a 2028 2nd round pick from the Dallas Stars for Vladislav Kolyachonok
2028,2,Acquired from Avalanche,5.71,Feb 24 2026 The Pittsburgh Penguins acquired Samuel Girard and a 2028 2nd round pick from the Colorado Avalanche for Brett Kulak
2028,3,Acquired from Sharks,2.05,Jul 1 2025 The San Jose Sharks acquired Alex Nedeljkovic from the Pittsburgh Penguins for a 2028 3rd round pick
2028,3,Own,2.05,
2028,4,Traded Away,0.98,Jul 1 2026 | Traded Away The Pittsburgh Penguins acquire Nicholas Robertson from the Toronto Maple Leafs for a 2028 4th round pick
2028,5,Traded Away,0.54,"Jun 27 2026 | Traded Away The Pittsburgh Penguins acquire a 2026 5th round pick (CAR, #160) from the Nashville Predators for a 2028 5th round pick"
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Acquired from Oilers,5.71,"Dec 12 2025 The Edmonton Oilers acquired Tristan Jarry and Samuel Poulin from the Pittsburgh Penguins for Stuart Skinner, Brett Kulak, and a 2029 2nd round pick"
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
