Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Sidney Crosby,C,87,95,EXACT,Playmaker,X-Factor,Canada,39,94,92,94,95,94,87,92,86,83,88,92,84,96,95,88,87,89,87,91,86,91,92,92,89,92,85,,84,90,75,92,2145
2,Erik Karlsson,D,65,88,MED,Offensive D-man,Elite Edges,Sweden,36,91,93,88,92,92,78,85,55,85,88,89,85,92,90,89,90,90,85,88,91,90,87,93,88,90,78,,83,80,65,85,2060
3,Evgeni Malkin,C,71,88,HIGH,Playmaker,X-Factor,Russia,40,91,92,88,91,91,83,87,75,81,87,86,80,91,88,84,85,87,85,80,85,89,89,91,86,90,82,,82,85,70,92,2058
4,Kris Letang,D,58,86,HIGH,2 Way D-Man,Elite Edges,Canada,39,86,85,83,88,88,80,88,55,88,90,86,80,88,90,87,87,87,85,90,88,86,81,91,82,90,82,,87,80,75,85,2031
5,Samuel Girard,D,49,86,MED,Offensive D-man,X-Factor,Canada,28,86,86,83,87,87,77,87,55,82,85,88,88,90,87,87,90,85,85,83,90,86,83,88,84,87,79,,82,85,65,83,2007
6,Bryan Rust,R,17,85,MED,2 Way Forward,,United States,34,88,88,87,88,88,80,86,65,81,87,87,87,88,85,88,88,89,86,87,88,87,87,87,87,87,81,,84,85,70,85,2040
7,Rickard Rakell,R,67,85,MED,,,Sweden,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,Yegor Chinakhov,R,59,84,MED,Sniper,,Russia,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,Kevin Hayes,R,13,83,MED,Power Forward,,United States,34,84,85,84,84,84,82,83,77,82,85,85,87,83,85,87,87,87,88,88,87,86,83,89,83,89,85,,87,85,80,89,2041
10,Andrei Kuzmenko,L,,82,MED,Sniper,,Russia,30,89,90,88,88,89,76,83,65,70,84,84,85,86,80,87,87,89,85,85,87,88,88,88,89,87,79,,82,85,65,85,2010
11,Anthony Mantha,R,39,82,MED,,,Canada,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,Ben Kindel,C,81,82,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,Justin Brazeau,R,16,82,MED,,,Canada,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Tommy Novak,C,18,82,MED,2 Way Forward,,United States,29,86,87,87,85,86,83,87,75,81,88,86,85,87,85,86,88,87,86,83,88,87,85,88,87,87,81,,82,85,70,87,2036
15,Trevor van Riemsdyk,D,,82,MED,,,United States,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Nicholas Robertson,L,,81,MED,Sniper,,United States,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Ryan Graves,D,27,81,MED,,,Canada,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Arturs Silovs,G,37,80,MED,Hybrid,,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Blake Lizotte,C,46,80,MED,,,United States,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Connor Dewar,C,19,79,MED,,,Canada,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,David Gustafsson,C,41,79,MED,,,Sweden,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Elmer Soderblom,L,25,79,MED,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Hendrix Lapierre,C,,79,LOW,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Filip Hallander,C,11,78,MED,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Kaedan Korczak,D,,78,MED,,,Canada,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Rutger McGroarty,R,2,78,HIGH,,,United States,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Rafael Harvey-Pinard,L,48,77,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Caleb Jones,D,82,76,MED,2 Way D-Man,,United States,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Declan Carlile,D,,76,MED,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Ville Koivunen,R,41,76,MED,,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Avery Hayes,R,85,75,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Joona Koppanen,L,15,75,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,Jake Livanavage,D,57,74,MED,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,Ilya Solovyov,D,7,73,MED,,,Belarus,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,Oliver Okuliar,L,,72,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,Taylor Gauthier,G,33,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
