Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Sidney Crosby,C,87,95,EXACT,Playmaker,X-Factor,Canada,39,94,92,94,95,94,87,92,86,83,88,92,84,96,95,88,87,89,87,91,86,91,92,92,89,92,85,,84,90,75,92,2145,Site,,,,,,,,,,,,4,EXACT
2,Erik Karlsson,D,65,88,MED,Offensive D-man,Elite Edges,Sweden,36,91,93,88,92,92,78,85,55,85,88,89,85,92,90,89,90,90,85,88,91,90,87,93,88,90,78,,83,80,65,85,2060,Site,,,,,,,,,,,,3.5,EXACT
3,Evgeni Malkin,C,71,88,HIGH,Playmaker,X-Factor,Russia,40,91,92,88,91,91,83,87,75,81,87,86,80,91,88,84,85,87,85,80,85,89,89,91,86,90,82,,82,85,70,92,2058,Site,,,,,,,,,,,,3.5,EXACT
4,Kris Letang,D,58,86,HIGH,2 Way D-Man,Elite Edges,Canada,39,86,85,83,88,88,80,88,55,88,90,86,80,88,90,87,87,87,85,90,88,86,81,91,82,90,82,,87,80,75,85,2031,Site,,,,,,,,,,,,3,EXACT
5,Samuel Girard,D,49,86,MED,Offensive D-man,X-Factor,Canada,28,86,86,83,87,87,77,87,55,82,85,88,88,90,87,87,90,85,85,83,90,86,83,88,84,87,79,,82,85,65,83,2007,Site,,,,,,,,,,,,4,HIGH
6,Bryan Rust,R,17,85,MED,2 Way Forward,,United States,34,88,88,87,88,88,80,86,65,81,87,87,87,88,85,88,88,89,86,87,88,87,87,87,87,87,81,,84,85,70,85,2040,Site,,,,,,,,,,,,3.5,EXACT
7,Rickard Rakell,R,67,85,MED,,,Sweden,33,87,87,86,87,87,80,86,71,81,84,85,84,88,84,86,87,86,86,85,87,88,87,88,88,88,82,,84,85,71,87,2034,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
8,Yegor Chinakhov,R,59,84,MED,Sniper,,Russia,25,86,87,85,86,87,80,85,71,81,83,84,83,87,83,86,87,86,85,84,86,87,86,88,87,88,82,,84,85,71,87,2022,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
9,Kevin Hayes,R,13,83,MED,Power Forward,,United States,34,84,85,84,84,84,82,83,77,82,85,85,87,83,85,87,87,87,88,88,87,86,83,89,83,89,85,,87,85,80,89,2041,Site,,,,,,,,,,,,3.5,EXACT
10,Andrei Kuzmenko,L,,82,MED,Sniper,,Russia,30,89,90,88,88,89,76,83,65,70,84,84,85,86,80,87,87,89,85,85,87,88,88,88,89,87,79,,82,85,65,85,2010,Site,,,,,,,,,,,,3.5,EXACT
