Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Sidney Crosby,C,"$8,700,000",1,UFA
Egor Chinakhov,LW,"$6,250,000",3,UFA
Evgeni Malkin,"C,RW","$5,500,000",1,UFA
Bryan Rust,"RW,LW","$5,125,000",2,UFA
Rickard Rakell,"RW,LW","$5,000,000",2,UFA
Andrei Kuzmenko,LW,"$5,000,000",1,UFA
Ville Koivunen,"LW,RW","$4,000,000",8,UFA
Thomas Novak,"C,LW","$4,650,000",4,UFA
Nicholas Robertson,"LW,RW","$3,250,000",2,RFA then UFA
Connor Dewar,"C,LW","$2,250,000",2,UFA
Blake Lizotte,"C,LW","$2,250,000",3,UFA
Justin Brazeau,"RW,LW","$1,500,000",1,UFA
Hendrix Lapierre,"C,LW","$1,300,000",2,RFA then UFA
Elmer Soderblom,"LW,RW","$1,125,000",1,RFA then UFA
Benjamin Kindel,"C,RW","$986,250",2,RFA
Erik Karlsson,RD,"$10,000,000",1,UFA
Kris Letang,RD,"$6,100,000",2,UFA
Samuel Girard,LD,"$5,000,000",1,UFA
Trevor van Riemsdyk,"RD,LD","$4,000,000",2,UFA
Kaedan Korczak,RD,"$3,250,000",4,UFA
Declan Carlile,LD,"$1,500,000",2,UFA
Arturs Silovs,G,"$2,800,000",1,RFA then UFA
Sergei Murashov,G,"$936,110",1,RFA
Ryan Graves,LD,"$3,275,000",3,UFA
Parker Wotherspoon,LD,"$500,000",1,
Bill Zonnon,LW,"$1,075,000",3,RFA
Melvin Fernström,RW,"$965,000",3,RFA
Mikhail Ye. Ilyin,"LW,RW","$951,667",2,RFA
Rutger McGroarty,"LW,C","$950,000",1,RFA
Tristan Broz,"C,LW","$942,500",1,RFA then UFA
Atley Calvert,,"$930,000",2,RFA
Tanner Howe,LW,"$929,166",3,RFA
Avery Hayes,"C,RW","$905,000",1,RFA then UFA
Filip Hallander,"C,LW","$850,000",1,UFA
David Gustafsson,"C,LW","$850,000",1,UFA
Oliver Okuliar,"LW,RW","$850,000",1,UFA
Vasiliy Ponomarev,"C,LW",,3,Unsigned RFA/UFA
Tomas Galvas,D,"$1,007,500",3,RFA
Jake Livanavage,LD,"$975,000",1,RFA
Chase Pietila,D,"$960,000",2,RFA
Peyton Kettles,D,"$958,333",3,RFA
Finn Harding,D,"$955,000",2,RFA
Daniel Laatsch,D,"$935,000",1,RFA then UFA
Harrison Brunicke,RD,"$929,166",3,RFA
Caleb Jones,D,"$900,000",1,UFA
Owen Pickering,D,"$886,667",1,RFA
Philip Kemp,D,"$850,000",1,UFA
Ilya Solovyov,LD,"$850,000",1,UFA-G6 then UFA
Alexander Alexeyev,D,,1,Unsigned RFA/UFA
Gabriel D'Aigle,G,"$995,000",3,RFA
Joel Blomqvist,G,"$875,000",2,RFA then UFA
Taylor Gauthier,G,"$850,000",1,UFA-G6 then UFA
