Year,Round,Status,PickValue,TradeDetails
2027,1,Own,31.29,
2027,2,Traded Away,5.71,"Jan 19 2026 | Traded Away The San Jose Sharks acquired Kiefer Sherwood from the Vancouver Canucks for a 2026 2nd round pick, a 2027 2nd round pick, and Cole Clayton"
2027,3,Traded Away,2.05,"Mar 8 2024 | Traded Away The Vegas Golden Knights acquired Tomas Hertl, a 2025 3rd round pick, and 2027 3rd round pick from the San Jose Sharks for David Edstrom and 2025 1st round pick"
2027,4,Own,0.98,
2027,5,Acquired from Blackhawks,0.54,Jan 16 2026 The Carolina Hurricanes acquired Kyle Masters and a 2026 4th round pick from the San Jose Sharks for a 2027 5th round pick
2027,5,Traded Away,0.54,"Dec 9 2024 | Traded Away The Colorado Avalanche acquired Mackenzie Blackwood, Givani Smith and a 2027 5th round pick from the San Jose Sharks for Alexandar Georgiev, Nikolai Kovalenko, a 2026 2nd round pick, and 2025 5th round pick"
2027,6,Own,0.29,
2027,7,Traded Away,0.14,Mar 6 2025 | Traded Away The Florida Panthers acquired Nico Sturm and a 2027 7th round pick from the San Jose Sharks for a 2026 4th round pick
2028,1,Own,31.29,
2028,2,Own,5.71,
2028,3,Traded Away,2.05,Jul 1 2025 | Traded Away The San Jose Sharks acquired Alex Nedeljkovic from the Pittsburgh Penguins for a 2028 3rd round pick
2028,4,Traded Away,0.98,"Jan 8 2026 | Traded Away The San Jose Sharks acquired Laurent Brossoit, Nolan Allan and a 2028 7th round pick from the Chicago Blackhawks for Ryan Ellis, Jake Furlong and a 2028 4th round pick"
2028,5,Traded Away,0.54,Mar 5 2025 | Traded Away The San Jose Sharks acquired Vincent Desharnais from the Pittsburgh Penguins for a 2028 5th round pick
2028,6,Own,0.29,
2028,7,Acquired from Blackhawks,0.14,"Jan 8 2026 The San Jose Sharks acquired Laurent Brossoit, Nolan Allan and a 2028 7th round pick from the Chicago Blackhawks for Ryan Ellis, Jake Furlong and a 2028 4th round pick"
2028,7,Own,0.14,
2029,1,Own,31.29,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,31.29,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,31.29,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
