Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Logan Couture,"C,LW","$8,000,000",1,UFA
Mason Marchment,"LW,C","$6,750,000",5,UFA
Tyler Toffoli,"RW,LW","$6,000,000",2,UFA
Alexander Wennberg,"C,LW","$6,000,000",3,UFA
Kiefer Sherwood,"RW,LW","$5,750,000",5,UFA
Collin Graf,"RW,C","$4,250,000",3,RFA then UFA
Barclay Goodrow,"C,LW","$3,641,667",1,UFA
Zack Ostapchuk,"C,LW","$2,350,000",4,UFA
Adam Gaudette,"C,RW","$2,000,000",1,UFA
Ty Dellandrea,"C,RW","$1,625,000",2,UFA
Ivar Stenberg,,"$1,075,000",3,RFA
Michael Misa,"C,LW","$986,250",2,RFA
Macklin Celebrini,"C,LW","$18,800,000",6,UFA
Will Smith,"C,RW","$950,000",1,RFA
Igor Chernyshov,LW,"$945,417",2,RFA
Darnell Nurse,LD,"$9,250,000",4,UFA
Jacob Trouba,RD,"$8,250,000",4,UFA
Dmitry Orlov,"LD,RD","$6,500,000",1,UFA
Michael Kesselring,RD,"$4,500,000",3,UFA
Sam Dickinson,LD,"$953,750",2,RFA
Luca Cagnoni,LD,"$920,000",1,RFA
Alex Nedeljkovic,G,"$3,000,000",2,UFA
Yaroslav Askarov,G,"$2,000,000",1,RFA then UFA
Eric Comrie,G,"$1,150,000",2,UFA
Martin Jones,G,"$1,666,667",1,
Marc-Edouard Vlasic,LD,"$1,166,667",1,
Erik Karlsson,RD,"$1,500,000",1,
Tomas Hertl,"C,LW","$1,387,500",4,
Andre Gasseau,C,"$1,050,000",2,RFA
Carson Wetsch,RW,"$997,500",3,RFA
Cameron Lund,"RW,C","$941,667",1,RFA
Filip Bystedt,"C,LW","$918,333",1,RFA
Quentin Musty,LW,"$909,166",2,RFA
Alex Barre-Boulet,"C,W","$875,000",2,UFA
Patrick Giles,"C,RW","$875,000",2,UFA
Tye Felhaber,"LW,C","$850,000",1,UFA
Jimmy Huntington,"C,LW","$850,000",1,UFA
Brett Leason,"RW,C","$850,000",1,UFA
Ethan Cardwell,"RW,C","$850,000",1,RFA then UFA
Martin Kaut,RW,,1,Unsigned RFA/UFA
Eric Pohlkamp,D,"$1,050,000",2,RFA
Phillip Sinn,,"$1,050,000",2,RFA
Leo Sahlin Wallenius,D,"$965,000",3,RFA
Mattias Hävelid,D,"$952,500",2,RFA
Nolan Allan,LD,"$875,000",2,RFA then UFA
Libor Hajek,D,"$850,000",1,UFA
Ilya Samsonov,G,"$850,000",1,UFA
Kyle Keyser,G,"$850,000",1,UFA
