Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Matthew Beniers,C,"$7,142,857",5,UFA
Chandler Stephenson,"C,LW","$6,250,000",5,UFA
Bobby McMann,"LW,RW","$5,750,000",6,UFA
Jordan Eberle,RW,"$5,500,000",2,UFA
Jared McCann,"LW,C","$5,000,000",1,UFA
Kaapo Kakko,RW,"$4,525,000",2,UFA
Mackie Samoskevich,"RW,C","$3,850,000",3,RFA then UFA
Frederick Gaudreau,"C,RW","$2,100,000",2,UFA
Jacob Melanson,RW,"$1,450,000",3,RFA then UFA
Curtis Douglas,"C,LW","$1,250,000",2,UFA
Ryan Winterton,"RW,LW","$1,125,000",2,RFA
Ben Meyers,"C,LW","$1,000,000",2,UFA
Berkly Catton,"C,LW","$953,750",2,RFA
Shane Wright,C,"$886,666",1,RFA
Vince Dunn,LD,"$7,350,000",1,UFA
Brandon Montour,RD,"$7,142,857",5,UFA
Adam Larsson,RD,"$5,250,000",3,UFA
Ryan Lindgren,LD,"$4,500,000",3,UFA
Ryker Evans,LD,"$2,050,000",1,RFA then UFA
Josh Mahura,LD,"$907,500",1,UFA
Cale Fleury,RD,"$890,000",1,UFA
Philipp Grubauer,G,"$5,900,000",1,UFA
Joey Daccord,G,"$5,000,000",4,UFA
Joseph Veleno,"C,LW","$379,167",1,
Ryden Evers,,"$1,075,000",3,RFA
Jake O'Brien,C,"$974,167",3,RFA
Andrei Loshko,RW,"$970,000",2,RFA
Nathan Villeneuve,C,"$965,000",3,RFA
Julius Miettinen,"C,W","$965,000",3,RFA
Carson Rehkopf,"C,LW","$914,166",2,RFA
Oscar Fisker Molgaard,,"$914,166",2,RFA
Eduard Sale,RW,"$909,166",2,RFA
Jagger Firkus,RW,"$891,666",1,RFA
David Goyette,C,"$891,666",1,RFA
Jani Nyman,"RW,LW","$891,666",1,RFA
John Hayden,"C,RW","$850,000",1,UFA
Jon-Randall Avon,"C,LW","$850,000",1,RFA
Logan Morrison,C,"$850,000",1,RFA then UFA
Lleyton Roed,LW,"$850,000",1,RFA then UFA
Alexis Bernier,D,"$1,003,333",3,RFA
Tyson Jugnauth,D,"$972,500",2,RFA
Kaden Hammell,D,"$965,333",2,RFA
Caden Price,D,"$935,556",2,RFA
Lukas Dragicevic,D,"$914,166",2,RFA
Ty Nelson,D,"$911,667",1,RFA
Ville Ottavainen,RD,"$850,000",1,RFA then UFA
Peetro Seppala,D,,2,Unsigned RFA/UFA
Kim Saarinen,G,"$932,500",3,RFA
Niklas Kokko,G,"$891,666",1,RFA
Victor Ostman,G,"$850,000",1,RFA then UFA
