Year,Round,Status,PickValue,TradeDetails
2027,1,Own,31.29,
2027,2,Traded Away,5.71,Dec 14 2024 | Traded Away The St. Louis Blues acquired Cam Fowler and a 4th round pick from the Anaheim Ducks for a 2nd round pick and Jeremie Biakabutuka
2027,3,Own,2.05,
2027,4,Own,0.98,
2027,4,Acquired from Ducks,0.98,Dec 14 2024 The St. Louis Blues acquired Cam Fowler and a 4th round pick from the Anaheim Ducks for a 2nd round pick and Jeremie Biakabutuka
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,31.29,
2028,2,Own,5.71,
2028,3,Traded Away,2.05,Aug 20 2024 | Traded Away The Edmonton Oilers acquired Paul Fischer and a 2028 3rd round pick from the St. Louis Blues for future considerations
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,31.29,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,31.29,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,31.29,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
