Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Robert Thomas,C,18,89,MED,2 Way Forward,X-Factor,Canada,27,91,92,87,94,91,86,90,84,83,86,89,84,93,89,89,90,89,87,89,88,88,87,87,89,87,82,,82,88,70,87,2093
2,Colton Parayko,D,55,88,MED,2 Way D-Man,X-Factor,Canada,33,86,86,85,85,86,79,90,55,87,85,86,89,86,82,88,88,87,92,86,88,90,88,94,85,92,85,,84,87,80,88,2055
3,Brandon Carlo,D,25,86,MED,Defensive D-man,X-Factor,United States,29,81,80,80,80,82,81,93,55,88,86,84,82,84,85,83,83,80,86,82,82,85,83,89,82,87,86,,85,86,80,91,1991
4,Connor McMichael,C,24,86,LOW,2 Way Forward,X-Factor,Canada,25,86,86,85,86,86,81,88,69,83,84,85,81,90,85,87,90,86,86,82,89,87,87,88,86,88,81,,84,85,68,88,2030
5,Dylan Holloway,L,81,86,MED,2 Way Forward,X-Factor,Canada,24,88,88,87,87,88,80,86,68,84,82,86,84,89,84,87,89,88,89,80,88,89,89,90,87,91,85,,89,83,80,88,2058
6,Jordan Binnington,G,50,86,LOW,Hybrid,X-Factor,Canada,33,22,,,88,,,,,,,28,,,83,52,,84,,92,83,,,,,,35,82,,92,,,604
7,Mason McTavish,C,23,85,HIGH,Power Forward,X-Factor,Canada,23,87,88,85,88,88,82,85,80,80,81,85,80,89,87,86,87,86,86,84,85,89,88,90,89,90,84,,84,84,80,89,2053
8,Pavel Buchnevich,L,89,85,MED,2 Way Forward,X-Factor,Russia,31,87,87,84,90,86,80,87,68,81,85,86,84,91,84,85,85,85,82,88,84,88,89,88,86,88,81,,82,88,65,87,2024
9,Cam Fowler,D,17,84,LOW,2 Way D-Man,X-Factor,Canada,34,88,89,84,91,89,76,86,55,81,81,87,87,90,85,86,87,85,86,85,87,87,85,89,87,88,81,,80,86,70,88,2021
10,Jake Neighbours,L,63,84,LOW,Power Forward,,Canada,24,85,84,83,85,86,79,85,64,83,82,84,81,88,83,85,85,84,86,84,85,87,86,87,87,87,84,,88,84,75,88,2010
11,Philip Broberg,D,6,84,MED,,,Sweden,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,Pius Suter,C,22,83,MED,,,Switzerland,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,Jimmy Snuggerud,R,21,82,MED,,,United States,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Joel Hofer,G,30,82,MED,Hybrid,,Canada,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Oskar Sundqvist,C,70,82,MED,,,Sweden,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Alexey Toropchenko,R,13,80,MED,,,Russia,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Dillon Dube,C,,80,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Jonatan Berggren,R,29,80,MED,,,Sweden,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Dalibor Dvorsky,R,54,79,MED,,,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Nathan Walker,L,26,78,MED,,,Wales,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Tyler Tucker,D,75,77,MED,,,Canada,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Calle Rosen,D,43,76,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Logan Mailloux,D,23,76,MED,,,Canada,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Ross Johnston,L,,76,MED,,,Canada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Jack Finley,C,37,75,MED,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Hugh McGing,R,56,74,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Dylan Peterson,C,39,72,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Julien Gauthier,R,26,71,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Georgi Romanov,G,,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
