Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Robert Thomas,C,18,89,MED,2 Way Forward,X-Factor,Canada,27,91,92,87,94,91,86,90,84,83,86,89,84,93,89,89,90,89,87,89,88,88,87,87,89,87,82,,82,88,70,87,2093,Site,,,,,,,,,,,,4.5,HIGH
2,Colton Parayko,D,55,88,MED,2 Way D-Man,X-Factor,Canada,33,86,86,85,85,86,79,90,55,87,85,86,89,86,82,88,88,87,92,86,88,90,88,94,85,92,85,,84,87,80,88,2055,Site,,,,,,,,,,,,3.5,EXACT
3,Brandon Carlo,D,25,86,MED,Defensive D-man,X-Factor,United States,29,81,80,80,80,82,81,93,55,88,86,84,82,84,85,83,83,80,86,82,82,85,83,89,82,87,86,,85,86,80,91,1991,Site,,,,,,,,,,,,3.5,MED
4,Connor McMichael,C,24,86,LOW,2 Way Forward,X-Factor,Canada,25,86,86,85,86,86,81,88,69,83,84,85,81,90,85,87,90,86,86,82,89,87,87,88,86,88,81,,84,85,68,88,2030,Site,,,,,,,,,,,,3.5,LOW
5,Dylan Holloway,L,81,86,MED,2 Way Forward,X-Factor,Canada,24,88,88,87,87,88,80,86,68,84,82,86,84,89,84,87,89,88,89,80,88,89,89,90,87,91,85,,89,83,80,88,2058,Site,,,,,,,,,,,,4.5,HIGH
6,Jordan Binnington,G,50,86,LOW,Hybrid,X-Factor,Canada,33,,,,88,,,,,,,,,,,,,84,,92,83,,,,,,,,,92,,,1387,Goalie: site OVR + estimated attribute profile,81,83,89,89,83,86,88,92,81,89,87,3.5,EXACT
7,Mason McTavish,C,23,85,HIGH,Power Forward,X-Factor,Canada,23,87,88,85,88,88,82,85,80,80,81,85,80,89,87,86,87,86,86,84,85,89,88,90,89,90,84,,84,84,80,89,2053,Site,,,,,,,,,,,,4.5,HIGH
8,Pavel Buchnevich,L,89,85,MED,2 Way Forward,X-Factor,Russia,31,87,87,84,90,86,80,87,68,81,85,86,84,91,84,85,85,85,82,88,84,88,89,88,86,88,81,,82,88,65,87,2024,Site,,,,,,,,,,,,4,EXACT
9,Cam Fowler,D,17,84,LOW,2 Way D-Man,X-Factor,Canada,34,88,89,84,91,89,76,86,55,81,81,87,87,90,85,86,87,85,86,85,87,87,85,89,87,88,81,,80,86,70,88,2021,Site,,,,,,,,,,,,3,EXACT
10,Jake Neighbours,L,63,84,LOW,Power Forward,,Canada,24,85,84,83,85,86,79,85,64,83,82,84,81,88,83,85,85,84,86,84,85,87,86,87,87,87,84,,88,84,75,88,2010,Site,,,,,,,,,,,,3.5,LOW
