Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Robert Thomas,C,"$8,125,000",5,UFA
Pavel Buchnevich,"LW,C","$8,000,000",5,UFA
Dylan Holloway,"LW,C","$7,750,000",5,UFA
Mason McTavish,"C,LW","$7,000,000",5,UFA
Connor McMichael,"C,LW","$6,750,000",6,UFA
Pius Suter,"C,LW","$4,125,000",1,UFA
Jake Neighbours,"LW,RW","$3,750,000",1,RFA then UFA
Alexei Toropchenko,"LW,RW","$2,500,000",2,UFA
Ross Johnston,"LW,RW","$2,000,000",3,UFA
Jonatan Berggren,"RW,LW","$2,000,000",1,RFA then UFA
Jimmy Snuggerud,"RW,LW","$950,000",1,RFA
Dalibor Dvorský,"C,RW","$909,166",2,RFA
Nathan Walker,"C,LW","$887,500",2,UFA
Dillon Dube,"LW,C","$850,000",1,UFA
Philip Broberg,LD,"$8,000,000",6,UFA
Torey Krug,D,"$6,500,000",1,UFA
Colton Parayko,RD,"$6,500,000",4,UFA
Cam Fowler,LD,"$6,100,000",3,UFA
Brandon Carlo,RD,"$3,485,000",1,UFA
Theo Lindstein,LD,"$940,833",2,RFA
Tyler Tucker,LD,"$925,000",1,UFA
Logan Mailloux,RD,"$850,000",1,RFA then UFA
Jordan Binnington,G,"$6,000,000",1,UFA
Joel Hofer,G,"$3,400,000",1,RFA then UFA
Jonathan Drouin,"LW,C","$1,333,333",2,
Félix Trudeau,,"$1,013,750",2,RFA then UFA
Milton Gästrin,"C,LW","$974,167",3,RFA
Justin Carbonneau,RW,"$974,167",3,RFA
Adam Jecho,"C,RW","$965,000",3,RFA
Nikita Susuyev,"LW,RW","$955,000",2,RFA
Aleksanteri Kaskimäki,C,"$945,000",1,RFA
Simon Robertsson,RW,"$942,500",1,RFA then UFA
Otto Stenberg,"C,LW","$940,833",2,RFA
Juraj Pekarcik,"W,C","$938,333",2,RFA
Jakub Stancl,LW,"$936,111",2,RFA
Jack Finley,"C,RW","$875,000",2,RFA then UFA
Oskar Sundqvist,"C,RW","$850,000",1,UFA
Dylan Peterson,"C,RW","$850,000",1,RFA then UFA
Zach Dean,C,"$850,000",1,RFA then UFA
Mikhail Abramov,"C,W",,2,Unsigned RFA/UFA
Colin Ralph,D,"$1,075,000",3,RFA
Arseni Koromyslov,D,"$1,013,750",2,RFA
Lukas Fischer,D,"$965,000",3,RFA
Adam Jiříček,D,"$941,667",3,RFA
Quinton Burns,D,"$938,333",2,RFA
Michael Buchinger,D,"$913,333",1,RFA
Marc-Andre Gaudet,D,"$877,500",1,RFA
Calle Rosen,D,"$875,000",2,UFA
Leo Loof,D,,3,Unsigned RFA/UFA
Georgii Romanov,G,"$875,000",2,UFA
Will Cranley,G,"$850,000",1,UFA-G6 then UFA
