Year,Round,Status,PickValue,TradeDetails
2027,1,Traded Away,14.49,"Mar 5 2025 | Traded Away The Tampa Bay Lightning acquired Oliver Bjorkstrand, a 2026 5th round pick, and Kyle Aucoin from the Seattle Kraken for Michael Eyssimont, a 2025 2nd round pick, a 2026 1st round pick, and a 2027 1st round pick in a three-team trade with DET"
2027,2,Own,5.71,
2027,3,Traded Away,2.05,Jun 1 2026 | Traded Away The Tampa Bay Lightning acquire Jack Pridham from the Chicago Blackhawks for a 2027 3rd round pick
2027,4,Acquired from Maple Leafs,0.98,"Jul 1 2026 The Toronto Maple Leafs acquire Nick Paul from the Tampa Bay Lightning for Dennis Hildeby, a 2028 3rd round pick and a 2027 4th round pick"
2027,4,Own,0.98,
2027,5,Traded Away,0.54,Mar 8 2024 | Traded Away The Tampa Bay Lightning acquired Matt Dumba and a 2025 7th round pick from the Arizona Coyotes for a 2027 5th round pick
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,14.49,
2028,2,Traded Away,5.71,Mar 6 2026 | Traded Away The Tampa Bay Lightning acquire Corey Perry (50% retained) from the Los Angeles Kings for a 2028 2nd round pick.
2028,3,Acquired from Maple Leafs,2.05,"Jul 1 2026 The Toronto Maple Leafs acquire Nick Paul from the Tampa Bay Lightning for Dennis Hildeby, a 2028 3rd round pick and a 2027 4th round pick"
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
