Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Nikita Kucherov,RW,"$9,500,000",1,UFA
Brayden Point,C,"$9,500,000",4,UFA
Jake Guentzel,"LW,C","$9,000,000",5,UFA
Brandon Hagel,LW,"$6,500,000",6,UFA
Anthony Cirelli,C,"$6,250,000",5,UFA
Ilya Mikheyev,"RW,LW","$3,850,000",4,UFA
Jeffrey Viel,"LW,RW","$2,500,000",5,UFA
Yanni Gourde,"C,LW","$2,333,333",5,UFA
Pontus Holmberg,"C,LW","$1,550,000",1,UFA
Gage Goncalves,"LW,RW","$1,200,000",1,RFA then UFA
Zemgus Girgensons,"LW,C","$925,000",1,UFA
Dominic James,"C,LW","$910,000",1,RFA then UFA
Conor Geekie,"RW,C","$886,666",1,RFA
John Carlson,RD,"$8,500,000",2,UFA
Victor Hedman,LD,"$8,000,000",3,UFA
Janis Jérôme Moser,"LD,RD","$6,750,000",8,UFA
Erik Cernak,RD,"$5,200,000",5,UFA
Ryan McDonagh,LD,"$4,100,000",3,UFA
Charle-Edouard D'Astous,LD,"$875,000",1,UFA
Emil Lilleberg,"LD,RD","$850,000",1,RFA then UFA
Andrei Vasilevskiy,G,"$9,500,000",2,UFA
Jonas Johansson,G,"$1,250,000",1,UFA
Dennis Hildeby,G,"$841,667",2,RFA then UFA
Benjamin Rautiainen,,"$1,007,500",3,RFA
Noah Steen,"LW,RW","$972,500",2,RFA
Ethan Czata,C,"$965,000",3,RFA
Tristan Allard,,"$947,500",1,RFA then UFA
Connor Kurth,F,"$945,000",1,RFA
Milo Roelens,"C,LW","$945,000",1,RFA then UFA
Gabriel Szturc,"C,LW","$945,000",1,RFA
Dylan Duke,"LW,C","$942,500",1,RFA then UFA
Robert Flinton,LW,"$942,500",1,RFA
Sam O'Reilly,C,"$936,056",3,RFA
Lucas Mercuri,C,"$913,750",1,RFA then UFA
Ethan Gauthier,RW,"$893,333",2,RFA
Jakob Pelletier,"LW,C","$875,000",2,UFA
Scott Sabourin,"RW,LW","$850,000",1,UFA
Jansen Harkins,"C,LW","$850,000",1,UFA
Nicholas Abruzzese,"C,LW","$850,000",1,UFA
Tomas Kralovic,,"$1,007,500",3,RFA
Dyllan Gill,D,"$945,000",1,RFA
Maxwell Crozier,RD,"$875,000",2,UFA
Maxim Groshev,LD,"$875,000",2,RFA then UFA
Steven Santini,RD,"$850,000",1,UFA
Michael Callahan,LD,"$850,000",1,UFA
Simon Lundmark,D,"$850,000",1,UFA-G6 then UFA
Harrison Meneghin,G,"$972,500",2,RFA
Olivier Rodrigue,G,"$850,000",1,UFA-G6 then UFA
Mads Sogaard,G,"$850,000",1,UFA-G6 then UFA
Hugo Alnefelt,G,,2,Unsigned RFA/UFA
