Year,Round,Status,PickValue,TradeDetails
2027,1,Traded Away,68.02,"Mar 7 2025 | Traded Away The Toronto Maple Leafs acquired Brandon Carlo from the Boston Bruins for Fraser Minten, a 2026 1st round pick and a 2025 4th round pick"
2027,1,Acquired from Avalanche,14.49,Mar 5 2026 The Colorado Avalanche acquire Nicolas Roy from the Toronto Maple Leafs for a 2027 1st round pick and a 2026 5th round pick
2027,2,Own,5.71,
2027,2,Acquired from Blue Jackets,5.71,Mar 6 2026 The Seattle Kraken acquire Bobby McMann from the Toronto Maple Leafs for a conditional 2027 2nd round pick (CBJ) and a 2026 4th round pick (ANA).
2027,3,Traded Away,2.05,Jun 30 2025 | Traded Away The Toronto Maple Leafs acquired Matias Maccelli from the Utah Mammoth for a conditional 2027 3rd round pick
2027,4,Traded Away,0.98,"Jul 1 2026 | Traded Away The Toronto Maple Leafs acquire Nick Paul from the Tampa Bay Lightning for Dennis Hildeby, a 2028 3rd round pick and a 2027 4th round pick"
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,6,Acquired from Flyers,0.29,"Mar 7 2025 The Toronto Maple Leafs acquired Scott Laughton, a 2025 4th round pick, a 2027 6th round pick from the Philadelphia Flyers for a 2027 1st round pick and Nikita Grebenkin"
2027,7,Own,0.14,
2028,1,Traded Away,68.02,"Mar 7 2025 | Traded Away The Toronto Maple Leafs acquired Scott Laughton, a 2025 4th round pick, a 2027 6th round pick from the Philadelphia Flyers for a 2027 1st round pick and Nikita Grebenkin"
2028,2,Own,5.71,
2028,3,Traded Away,2.05,"Jul 1 2026 | Traded Away The Toronto Maple Leafs acquire Nick Paul from the Tampa Bay Lightning for Dennis Hildeby, a 2028 3rd round pick and a 2027 4th round pick"
2028,4,Traded Away,0.98,Jul 17 2025 | Traded Away The Toronto Maple Leafs acquired Dakota Joshua from the Vancouver Canucks for a 2028 4th round pick
2028,4,Acquired from Penguins,0.98,Jul 1 2026 The Pittsburgh Penguins acquire Nicholas Robertson from the Toronto Maple Leafs for a 2028 4th round pick
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,68.02,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,68.02,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,68.02,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
