Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Auston Matthews,C,"$13,250,000",2,UFA
William Nylander,"C,RW","$11,500,000",6,UFA
Matthew Knies,"LW,RW","$7,750,000",5,UFA
John Tavares,"C,LW","$4,389,280",3,UFA
Colton Sissons,"C,RW","$4,250,000",2,UFA
Jack Roslovic,"C,RW","$4,000,000",2,UFA
Max Domi,"C,LW","$3,750,000",2,UFA
Dakota Joshua,"C,LW","$3,250,000",2,UFA
Nick Paul,"LW,C","$3,150,000",3,UFA
Brandon Duhaime,"LW,RW","$2,600,000",3,UFA
Teddy Blueger,C,"$2,500,000",2,UFA
Steven Lorentz,"LW,C","$1,350,000",2,UFA
Gavin McKenna,LW,"$1,075,000",3,RFA
Easton Cowan,"C,LW","$900,000",2,RFA
Zack MacEwen,"C,RW","$875,000",2,UFA
Darren Raddysh,RD,"$8,500,000",8,UFA
Morgan Rielly,LD,"$7,500,000",4,UFA
Jake McCabe,"LD,RD","$4,513,102",4,UFA
Christopher Tanev,RD,"$4,500,000",4,UFA
Oliver Ekman-Larsson,"LD,RD","$3,500,000",2,UFA
Emil Andrae,"LD,RD","$1,550,000",2,RFA then UFA
Troy Stecher,RD,"$1,350,000",2,UFA
Sergei Bobrovsky,G,"$7,000,000",3,UFA
Anthony Stolarz,G,"$3,750,000",4,UFA
Tinus Luc Koblar,,"$1,028,333",3,RFA
Brandon Buhr,,"$975,000",1,RFA then UFA
Borya Valis,F,"$972,500",2,RFA
Landon Sim,"C,RW","$955,000",2,RFA
Luke Haymes,C,"$937,500",1,RFA
Miroslav Holinka,"C,W","$918,333",2,RFA
Henrik Rybinski,"W,C","$875,000",2,UFA
Vinni Lettieri,"C,RW","$850,000",1,UFA
Brendan Brisson,"LW,RW","$850,000",1,UFA-G6 then UFA
Ryan Tverberg,"C,RW","$850,000",1,UFA-G6 then UFA
Jacob Quillan,"C,LW","$850,000",1,RFA then UFA
Michael Pezzetta,"LW,C","$812,500",1,UFA
Bo Groulx,"C,LW","$812,500",1,UFA
Semyon Der-Arguchintsev,C,,2,Unsigned RFA/UFA
Roni Hirvonen,"W,C",,3,Unsigned RFA/UFA
Hayes Hundley,,"$1,010,000",3,RFA
Vinny Borgesi,,"$987,500",2,RFA
Blake Smith,,"$962,500",2,RFA
Ben Danford,RD,"$936,056",3,RFA
Noah Chadwick,D,"$900,556",2,RFA
William Villeneuve,RD,"$875,000",2,RFA then UFA
Cole McWard,RD,"$875,000",2,UFA
Philippe Myers,RD,"$850,000",1,UFA
Marshall Rifai,LD,"$850,000",1,UFA
Cade Webber,D,"$825,000",1,RFA then UFA
Dakota Mermis,LD,"$812,500",1,UFA
Topi Niemela,D,,3,Unsigned RFA/UFA
Artur Akhtyamov,G,"$900,000",3,UFA
Samuel Hlavaj,G,"$850,000",1,RFA then UFA
