Year,Round,Status,PickValue,TradeDetails
2027,1,Own,14.49,
2027,2,Own,5.71,
2027,3,Acquired from Maple Leafs,2.05,Jun 30 2025 The Toronto Maple Leafs acquired Matias Maccelli from the Utah Mammoth for a conditional 2027 3rd round pick
2027,3,Traded Away,2.05,"Jul 1 2026 | Traded Away The Utah Mammoth acquire Vincent Trocheck from the New York Rangers for Sean Durzi, Cole Beaudoin and a conditional 2027 3rd round pick"
2027,4,Own,0.98,
2027,4,Acquired from Oilers,0.98,Mar 7 2024 The Edmonton Oilers acquired Troy Stecher and a 2024 7th round pick from the Arizona Coyotes for a 2027 4th round pick
2027,5,Own,0.54,
2027,5,Acquired from Lightning,0.54,Mar 8 2024 The Tampa Bay Lightning acquired Matt Dumba and a 2025 7th round pick from the Arizona Coyotes for a 2027 5th round pick
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Acquired from Panthers,31.29,Jun 26 2026 The Boston Bruins acquire John-Jason Peterka from the Utah Mammoth for a 2026 1st round pick (#23) and a conditional 2028 1st round pick (FLA)
2028,1,Own,14.49,
2028,2,Own,5.71,
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
