Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Clayton Keller,C,9,90,MED,Playmaker,X-Factor,United States,28,91,92,87,94,91,77,83,66,80,80,89,83,94,89,88,90,88,85,87,88,90,92,87,92,87,80,,81,89,65,84,2054,Site,,,,,,,,,,,,4.5,HIGH
2,Logan Cooley,C,92,88,MED,Playmaker,X-Factor,United States,22,89,90,86,91,89,80,85,74,81,81,86,81,91,87,87,91,87,86,81,90,88,91,84,90,85,79,,83,86,65,81,2036,Site,,,,,,,,,,,,5,HIGH
3,MacKenzie Weegar,D,52,88,MED,2 Way D-Man,X-Factor,Canada,32,90,90,88,90,90,80,89,55,88,89,87,84,86,90,89,91,90,83,89,90,89,90,87,90,87,85,,91,90,70,87,2074,Site,,,,,,,,,,,,4,EXACT
4,Mikhail Sergachev,D,98,88,MED,2 Way D-Man,X-Factor,Russia,28,89,89,87,90,89,78,88,55,85,84,88,83,92,89,87,88,86,87,89,87,90,89,90,89,90,86,,86,87,78,92,2069,Site,,,,,,,,,,,,4.5,HIGH
5,Vincent Trocheck,C,,88,MED,2 Way Forward,X-Factor,United States,33,89,89,88,89,90,88,91,85,87,87,86,82,90,87,87,86,89,83,86,90,88,90,87,88,87,83,,89,91,65,85,2081,Site,,,,,,,,,,,,4,EXACT
6,Dylan Guenther,R,11,87,MED,Sniper,X-Factor,Canada,23,87,87,85,88,87,79,86,65,82,83,87,82,92,86,85,89,84,81,82,88,90,90,89,90,89,78,,83,82,60,85,2015,Site,,,,,,,,,,,,4.5,HIGH
7,Nick Schmaltz,C,8,86,MED,Playmaker,X-Factor,United States,30,90,91,88,90,91,81,83,72,83,84,87,87,87,88,86,88,88,83,86,87,88,90,88,87,87,81,,81,89,70,85,2053,Site,,,,,,,,,,,,4,EXACT
8,Karel Vejmelka,G,70,85,MED,Hybrid,,Czechia,30,,,,84,,,,,,,,,,,,,84,,91,86,,,,,,,,,91,,,1387,Goalie: site OVR + estimated attribute profile,88,85,82,94,84,85,83,90,82,88,90,3.5,EXACT
9,Anders Lee,L,,84,MED,Power Forward,X-Factor,United States,36,84,83,83,85,84,77,83,65,82,79,84,82,87,83,85,83,84,92,85,83,87,86,88,87,87,86,,86,86,80,90,2013,Site,,,,,,,,,,,,3.5,EXACT
10,John Marino,D,6,84,MED,,,United States,29,84,84,82,84,85,78,88,56,85,85,83,82,85,83,85,85,84,85,84,85,86,84,89,84,88,82,,85,84,74,87,1997,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
