Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Logan Cooley,"C,LW","$10,000,000",8,UFA
Nick Schmaltz,"C,LW","$8,000,000",8,UFA
Clayton Keller,"RW,LW","$7,150,000",2,UFA
Dylan Guenther,"RW,LW","$7,142,875",7,UFA
Vincent Trocheck,"C,RW","$5,625,000",3,UFA
Anders Lee,LW,"$5,400,000",3,UFA
Barrett Hayton,"C,LW","$4,775,000",1,UFA
Lawson Crouse,"LW,RW","$4,300,000",1,UFA
Jack McBain,"C,LW","$4,250,000",4,UFA
Kevin Stenlund,C,"$2,750,000",1,UFA
Brandon Tanev,"LW,RW","$2,500,000",2,UFA
Michael Carcone,LW,"$1,750,000",2,UFA
Kailer Yamamoto,"RW,LW","$1,750,000",2,UFA
Liam O'Brien,"LW,RW","$1,000,000",1,UFA
Mikhail Sergachev,LD,"$8,500,000",5,UFA
MacKenzie Weegar,"LD,RD","$6,250,000",5,UFA
John Marino,RD,"$6,750,000",9,UFA
Nate Schmidt,"LD,RD","$3,500,000",2,UFA
Andrew Peeke,RD,"$1,000,000",1,UFA
Nick DeSimone,RD,"$1,000,000",2,UFA
Dmitri Simashev,"LD,RD","$972,500",2,RFA
Karel Vejmelka,G,"$4,750,000",4,UFA
Sebastian Cossa,G,"$2,000,000",2,RFA then UFA
Oliver Ekman-Larsson,"LD,RD","$290,000",5,
Caleb Desnoyers,C,"$1,075,000",3,RFA
Vadim Moroz,"LW,RW","$1,013,750",2,RFA
Yegor Borikov,,"$995,000",3,RFA
Daniil But,LW,"$972,500",2,RFA
Gabe Smith,C,"$962,778",3,RFA
Miko Matikka,"RW,LW","$945,000",1,RFA
Owen Allard,"C,LW","$944,167",1,RFA
Tij Iginla,LW,"$941,667",3,RFA
Noel Nordh,"LW,RW","$935,000",2,RFA
Sam Lipkin,"LW,C","$926,667",1,RFA then UFA
Julian Lutz,"W,C","$923,333",1,RFA
Ben McCartney,"LW,RW","$850,000",1,UFA-G6 then UFA
Joshua Roy,LW,"$850,000",1,RFA
Cameron Hebig,"C,W","$812,500",1,UFA
Gregor Biber,D,"$1,002,500",3,RFA
Max Psenicka,,"$997,500",3,RFA
Tomas Lavoie,D,"$965,000",3,RFA
Artyom Duda,D,"$950,000",1,RFA
Terrell Goldsmith,D,"$936,111",2,RFA
Maveric Lamoureux,RD,"$886,666",1,RFA
Zachary Jones,LD,"$875,000",2,UFA
Montana Onyebuchi,D,"$850,000",1,UFA
Michael Hrabal,G,"$1,075,000",3,RFA
Jaxson Stauber,G,"$850,000",1,UFA
