Year,Round,Status,PickValue,TradeDetails
2027,1,Own,68.02,
2027,2,Traded Away,5.71,"Jun 26 2024 | Traded Away The Chicago Blackhawks acquired Ilya Mikheyev, Sam Lafferty, and a 2027 2nd round pick from the Vancouver Canucks for a 2027 4th round pick"
2027,2,Acquired from Sharks,5.71,"Jan 19 2026 The San Jose Sharks acquired Kiefer Sherwood from the Vancouver Canucks for a 2026 2nd round pick, a 2027 2nd round pick, and Cole Clayton"
2027,2,Acquired from Stars,5.71,Mar 4 2026 The Dallas Stars acquire Tyler Myers (50% retained) from the Vancouver Canucks for a 2027 2nd round pick and a 2029 4th round pick.
2027,3,Own,2.05,
2027,4,Own,0.98,
2027,4,Acquired from Penguins,0.98,Jul 13 2025 The Pittsburgh Penguins acquired Arturs Silovs from the Vancouver Canucks for Chase Stillman and a 2027 4th round pick
2027,5,Own,0.54,
2027,5,Acquired from Senators,0.54,Jun 27 2026 The Toronto Maple Leafs acquire a 2026 6th round pick (#161) from the Vancouver Canucks for a 2027 5th round pick (OTT)
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,68.02,
2028,2,Own,5.71,
2028,2,Acquired from Blue Jackets,5.71,Mar 5 2026 The Columbus Blue Jackets acquire Conor Garland from the Vancouver Canucks for a 2028 2nd round pick and a 2026 3rd round pick.
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,4,Acquired from Maple Leafs,0.98,Jul 17 2025 The Toronto Maple Leafs acquired Dakota Joshua from the Vancouver Canucks for a 2028 4th round pick
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,68.02,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,3,Acquired from Avalanche,2.05,Jun 29 2026 The Nashville Predators acquire Nils Hoglander from the Vancouver Canucks for a 2029 3rd round pick (COL)
2029,4,Own,0.98,
2029,4,Acquired from Stars,0.98,Mar 4 2026 The Dallas Stars acquire Tyler Myers (50% retained) from the Vancouver Canucks for a 2027 2nd round pick and a 2029 4th round pick.
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,68.02,
2030,1,Acquired from Rangers,68.02,Jul 1 2026 The New York Rangers acquire Marcus Pettersson from the Vancouver Canucks for a conditional 2030 1st round pick
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,68.02,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
