Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Thatcher Demko,G,35,88,Med,Hybrid,X-Factor,United States,30,22,,,86,,,,,,,29,,,88,52,,88,,84,86,,,,,,34,85,,83,,,600
2,Elias Pettersson,C,40,87,Med,Playmaker,X-Factor,Sweden,27,90,90,88,89,91,85,88,78,86,87,87,87,88,85,87,87,88,88,85,85,89,86,91,88,90,80,,84,85,65,85,2064
3,Brock Boeser,R,6,86,Med,Sniper,X-Factor,United States,29,87,86,86,88,86,78,85,65,80,82,87,86,91,85,83,83,83,83,84,84,91,90,91,89,93,81,,83,87,67,87,2024
4,Filip Hronek,D,17,86,Med,2 Way D-Man,X-Factor,Czechia,28,85,85,82,88,85,77,88,55,80,84,86,82,88,87,84,86,83,83,84,86,90,88,93,87,90,82,,85,85,70,87,2011
5,Marco Rossi,C,93,86,Med,2 Way Forward,X-Factor,Austria,24,88,86,86,90,88,82,87,77,82,83,87,83,91,88,86,87,86,87,80,88,87,85,87,87,87,82,,84,86,72,86,2043
6,Jake DeBrusk,L,74,85,Med,2 Way Forward,X-Factor,Canada,29,86,84,86,86,86,79,86,65,82,83,87,86,90,86,86,87,85,86,85,87,88,87,88,90,87,82,,85,86,70,88,2031
7,Jamie Oleksiak,D,,85,Med,Defensive D-man,,Canada,33,82,82,80,82,83,80,90,55,88,85,83,83,82,83,85,85,83,85,87,84,88,85,92,83,91,87,,85,86,85,93,2017
8,Evander Kane,L,91,84,Med,Power Forward,X-Factor,Canada,35,83,83,82,83,83,77,83,67,79,79,83,80,86,84,85,88,83,83,84,88,88,85,89,89,89,87,,91,83,85,88,2014
9,Filip Chytil,C,72,84,Med,2 Way Forward,X-Factor,Czechia,26,87,89,85,86,89,82,86,75,79,88,84,81,87,83,86,90,86,86,79,88,86,84,88,85,88,80,,82,80,70,88,2022
10,Kevin Lankinen,G,32,84,Med,Hybrid,,Finland,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,Luke Schenn,D,,84,Med,Defensive D-man,,Canada,36,81,81,79,81,82,77,87,55,83,81,82,81,82,82,81,81,81,81,80,81,85,83,88,83,87,86,,93,81,80,90,1963
12,Brendan Gallagher,R,11,83,Med,,,Canada,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,Paul Cotter,C,,83,Med,,,United States,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Pierre-Olivier Joseph,D,7,83,Med,,,Canada,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Zeev Buium,D,24,83,Med,,,United States,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Drew O’Connor,L,18,81,Low,,,United States,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Derek Forbort,D,27,80,Med,,,United States,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Tom Willander,D,5,80,Med,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Liam Öhgren,L,92,79,Med,2 Way D-Man,,Sweden,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Max Sasson,C,63,79,Med,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Aatu Raty,C,54,78,Med,,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Elias Pettersson,D,25,78,Med,,,Sweden,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Nils Aman,C,88,78,Med,,,Sweden,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Victor Mancini,D,90,78,Med,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Akil Thomas,C,,76,Med,,,Canada,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Matt Stienburg,C,36,76,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Trey Fix-Wolansky,R,,76,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Linus Karlsson,C,94,75,Med,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Braeden Cootes,C,80,73,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Cole Clayton,D,34,69,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Ilya Safonov,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Nikita Tolopilo,G,60,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
