Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Thatcher Demko,G,35,88,Med,Hybrid,X-Factor,United States,30,,,,86,,,,,,,,,,,,,88,,84,86,,,,,,,,,83,,,1397,Goalie: site OVR + estimated attribute profile,85,92,85,90,91,89,86,86,88,87,91,4,EXACT
2,Elias Pettersson,C,40,87,Med,Playmaker,X-Factor,Sweden,27,90,90,88,89,91,85,88,78,86,87,87,87,88,85,87,87,88,88,85,85,89,86,91,88,90,80,,84,85,65,85,2064,Site,,,,,,,,,,,,4.5,HIGH
3,Brock Boeser,R,6,86,Med,Sniper,X-Factor,United States,29,87,86,86,88,86,78,85,65,80,82,87,86,91,85,83,83,83,83,84,84,91,90,91,89,93,81,,83,87,67,87,2024,Site,,,,,,,,,,,,4,HIGH
4,Filip Hronek,D,17,86,Med,2 Way D-Man,X-Factor,Czechia,28,85,85,82,88,85,77,88,55,80,84,86,82,88,87,84,86,83,83,84,86,90,88,93,87,90,82,,85,85,70,87,2011,Site,,,,,,,,,,,,4,HIGH
5,Marco Rossi,C,93,86,Med,2 Way Forward,X-Factor,Austria,24,88,86,86,90,88,82,87,77,82,83,87,83,91,88,86,87,86,87,80,88,87,85,87,87,87,82,,84,86,72,86,2043,Site,,,,,,,,,,,,4.5,HIGH
6,Jake DeBrusk,L,74,85,Med,2 Way Forward,X-Factor,Canada,29,86,84,86,86,86,79,86,65,82,83,87,86,90,86,86,87,85,86,85,87,88,87,88,90,87,82,,85,86,70,88,2031,Site,,,,,,,,,,,,4,MED
7,Jamie Oleksiak,D,,85,Med,Defensive D-man,,Canada,33,82,82,80,82,83,80,90,55,88,85,83,83,82,83,85,85,83,85,87,84,88,85,92,83,91,87,,85,86,85,93,2017,Site,,,,,,,,,,,,3.5,EXACT
8,Evander Kane,L,91,84,Med,Power Forward,X-Factor,Canada,35,83,83,82,83,83,77,83,67,79,79,83,80,86,84,85,88,83,83,84,88,88,85,89,89,89,87,,91,83,85,88,2014,Site,,,,,,,,,,,,3.5,EXACT
9,Filip Chytil,C,72,84,Med,2 Way Forward,X-Factor,Czechia,26,87,89,85,86,89,82,86,75,79,88,84,81,87,83,86,90,86,86,79,88,86,84,88,85,88,80,,82,80,70,88,2022,Site,,,,,,,,,,,,3.5,MED
10,Kevin Lankinen,G,32,84,Med,Hybrid,,Finland,31,,,,85,,,,,,,,,,,,,86,,87,87,,,,,,,,,86,,,1361,Goalie: site OVR + estimated attribute profile,83,85,81,85,84,84,86,84,81,90,87,3.5,EXACT
