Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Elias Pettersson,"C,LW","$11,600,000",6,UFA
Brock Boeser,"RW,LW","$7,250,000",6,UFA
Jake DeBrusk,"LW,RW","$5,500,000",5,UFA
Marco Rossi,C,"$5,000,000",2,RFA then UFA
Filip Chytil,C,"$4,437,500",1,UFA
Brendan Gallagher,RW,"$3,250,000",1,UFA
Drew O'Connor,"LW,RW","$2,500,000",1,UFA
Linus Karlsson,"RW,C","$2,250,000",2,UFA
Paul Cotter,"LW,C","$2,150,000",1,UFA
Max Sasson,"C,LW","$1,000,000",2,UFA
Braeden Cootes,C,"$974,167",3,RFA
Jonathan Lekkerimaki,RW,"$918,333",1,RFA
Liam Öhgren,LW,"$886,666",1,RFA
Aatu Räty,C,"$850,000",1,RFA then UFA
Filip Hronek,RD,"$7,250,000",6,UFA
Jamie Oleksiak,"LD,RD","$5,000,000",2,UFA
Luke Schenn,RD,"$2,250,000",1,UFA
Victor Mancini,RD,"$1,000,000",2,RFA then UFA
Tom Willander,RD,"$972,500",2,RFA
Zeev Buium,LD,"$9,380,000",9,UFA
Thatcher Demko,G,"$8,500,000",3,UFA
Kevin Lankinen,G,"$4,500,000",4,UFA
Chris Driedger,G,,0,Unsigned UFA
Oliver Ekman-Larsson,"LD,RD","$2,126,667",5,
Tyler Myers,RD,"$1,500,000",1,
Adam Novotný,"LW,RW","$1,075,000",3,RFA
Riley Patterson,C,"$956,667",3,RFA
Ilya Safonov,C,"$950,000",1,RFA then UFA
Gabe Chiarot,,"$950,000",3,RFA
Anri Ravinskis,,"$947,500",1,RFA then UFA
Ty Mueller,C,"$945,000",1,RFA then UFA
Vilmer Alriksson,"LW,C","$931,667",2,RFA
Akil Thomas,"C,W","$900,000",1,UFA
Trey Fix-Wolansky,RW,"$900,000",1,UFA
MacKenzie MacEachern,LW,"$850,000",1,UFA
Matthew Stienburg,C,"$850,000",1,UFA-G6 then UFA
Chase Wouters,C,"$850,000",1,UFA
Arshdeep Bains,LW,"$850,000",1,UFA-G6 then UFA
Sawyer Mynio,D,"$906,666",2,RFA
Guillaume Brisebois,D,"$900,000",1,UFA
Kirill Kudryavtsev,LD,"$900,000",1,RFA
Jimmy Schuldt,D,"$850,000",1,UFA
Jack Thompson,RD,"$850,000",1,UFA-G6 then UFA
Cole Clayton,D,"$850,000",1,UFA
Aleksei Medvedev,G,"$965,000",3,RFA
Aku Koskenvuo,G,"$925,000",1,RFA then UFA
Ty Young,G,"$900,000",1,RFA
Nikita Tolopilo,G,"$850,000",1,UFA
