Year,Round,Status,PickValue,TradeDetails
2027,1,Traded Away,14.49,"Jan 18 2026 | Traded Away The Vegas Golden Knights acquired Rasmus Andersson from the Calgary Flames for Zach Whitecloud, Abram Wiebe, a 2027 1st round pick, and a conditional 2028 2nd round pick"
2027,2,Traded Away,5.71,Jun 30 2025 | Traded Away The Nashville Predators acquired Nicolas Hague and a conditional 2027 3rd round pick from the Vegas Golden Knights for Colton Sissons and Jeremy Lauzon
2027,3,Acquired from Canadiens,2.05,"Jun 26 2026 The Montreal Canadiens acquire a 2026 1st round pick (DAL, #26) from the Vegas Golden Knights for a 2026 1st round pick (#28) and a 2027 3rd round pick"
2027,3,Own,2.05,
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Acquired from Red Wings,0.14,Jul 1 2026 The Detroit Red Wings acquire Keegan Kolesar from the Vegas Golden Knights for a 2029 3rd round pick and a 2027 7th round pick
2027,7,Traded Away,0.14,Jun 27 2026 | Traded Away The Vegas Golden Knights acquire a 2026 7th round pick (#207) from the Detroit Red Wings for a 2027 7th round pick
2028,1,Acquired from Rangers,68.02,"Jun 26 2026 The New York Rangers acquire Pavel Dorofeyev from the Vegas Golden Knights for a 2026 1st round pick (DAL, #26), a 2026 3rd round pick (BUF, #92) and a conditional 2028 1st round pick"
2028,1,Own,14.49,
2028,2,Traded Away,5.71,"Jan 18 2026 | Traded Away The Vegas Golden Knights acquired Rasmus Andersson from the Calgary Flames for Zach Whitecloud, Abram Wiebe, a 2027 1st round pick, and a conditional 2028 2nd round pick"
2028,3,Acquired from Panthers,2.05,Jun 29 2026 The Florida Panthers acquire Akira Schmid from the Vegas Golden Knights for a 2028 3rd round pick
2028,3,Traded Away,2.05,Mar 3 2026 | Traded Away The Vegas Golden Knights acquire Cole Smith from the Nashville Predators for a 2028 3rd round pick and Christoffer Sedoff.
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Traded Away,5.71,"Mar 5 2026 | Traded Away The Vegas Golden Knights acquire Nic Dowd from the Washington Capitals for Jesper Vikman, a 2029 2nd round pick and a 2027 3rd round pick (SJS)."
2029,3,Acquired from Red Wings,2.05,Jul 1 2026 The Detroit Red Wings acquire Keegan Kolesar from the Vegas Golden Knights for a 2029 3rd round pick and a 2027 7th round pick
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
