Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Jack Eichel,C,9,94,HIGH,Playmaker,X-Factor,United States,29,93,94,88,94,94,84,88,77,85,84,90,88,93,90,92,94,91,93,87,93,92,93,92,91,91,83,,82,88,75,88,2133,Site,,,,,,,,,,,,5,HIGH
2,Mitch Marner,R,93,92,EXACT,Playmaker,X-Factor,Canada,29,93,93,89,95,94,81,89,64,82,89,90,87,95,89,89,89,92,84,90,88,88,89,87,90,87,81,,83,90,65,84,2084,Site,,,,,,,,,,,,4.5,HIGH
3,Mark Stone,R,61,89,LOW,2 Way Forward,X-Factor,Canada,34,90,88,90,91,90,82,92,63,83,88,89,85,91,90,86,85,85,87,87,85,89,89,90,86,90,82,,83,80,75,90,2063,Site,,,,,,,,,,,,3.5,EXACT
4,Noah Hanifin,D,15,89,MED,2 Way D-Man,X-Factor,United States,29,89,89,87,92,89,79,90,55,82,87,89,88,90,90,88,89,89,84,86,90,89,89,88,92,88,84,,82,89,75,88,2068,Site,,,,,,,,,,,,4,HIGH
5,Rasmus Andersson,D,4,88,MED,2 Way D-Man,X-Factor,Sweden,29,88,88,86,88,88,81,90,55,91,86,85,82,89,85,89,90,88,86,92,89,89,91,88,90,88,84,,84,90,75,88,2067,Site,,,,,,,,,,,,4,HIGH
6,Shea Theodore,D,27,88,HIGH,2 Way D-Man,X-Factor,Canada,31,92,92,88,94,92,78,88,55,82,86,89,84,93,90,88,91,89,83,86,90,89,86,90,89,90,80,,79,83,70,87,2057,Site,,,,,,,,,,,,4,EXACT
7,Carter Hart,G,79,87,MED,Hybrid,Post To Post,Canada,27,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,1,,,970,Goalie: site OVR + estimated attribute profile,91,91,90,91,87,85,84,90,81,91,84,4,MED
8,Ivan Barbashev,C,49,86,MED,2 Way Forward,X-Factor,Russia,30,87,86,86,88,88,79,86,66,81,84,88,85,92,86,86,86,84,87,85,86,89,85,91,87,91,81,,86,84,65,89,2034,Site,,,,,,,,,,,,3.5,EXACT
9,Tomas Hertl,C,48,86,MED,Sniper,X-Factor,Czechia,32,89,89,87,88,90,85,86,82,85,85,85,83,86,86,87,85,89,92,87,84,88,86,89,89,88,82,,86,85,65,90,2062,Site,,,,,,,,,,,,3.5,EXACT
10,Brayden McNabb,D,3,85,MED,Defensive D-man,X-Factor,Canada,35,82,82,80,82,83,81,91,55,90,87,83,83,83,83,83,82,83,82,85,82,87,85,88,86,87,86,,86,87,80,89,2001,Site,,,,,,,,,,,,3,EXACT
11,Adin Hill,G,33,84,MED,Hybrid,,Canada,30,,,,81,,,,,,,,,,,,,88,,85,88,,,,,,,,,85,,,1361,Goalie: site OVR + estimated attribute profile,86,89,83,84,83,84,82,88,82,89,84,3.5,EXACT
12,Reilly Smith,R,19,84,MED,,,Canada,35,86,87,85,87,87,81,86,73,82,84,85,83,88,84,86,86,86,86,84,86,88,87,88,87,88,81,,84,84,71,86,2029,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
13,William Karlsson,C,71,84,LOW,2 Way Forward,X-Factor,Sweden,33,86,86,85,86,87,85,88,81,83,87,87,88,87,85,86,88,85,85,85,87,86,85,86,86,87,79,,82,82,65,85,2031,Site,,,,,,,,,,,,3.5,EXACT
14,Brett Howden,C,21,81,MED,,,Canada,28,84,84,84,85,85,81,85,73,82,85,83,82,85,82,84,84,84,84,83,84,86,85,87,85,87,81,,85,82,71,85,1998,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
15,Jeremy Lauzon,D,5,81,MED,,,Canada,29,82,82,81,82,83,78,86,55,85,84,82,81,83,81,83,83,82,87,81,84,85,82,88,82,87,84,,86,83,78,88,1974,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
16,Nic Dowd,C,26,81,LOW,,,United States,36,84,84,84,85,85,81,85,73,82,85,83,82,85,82,84,84,84,84,83,84,86,85,87,85,87,81,,85,82,71,85,1998,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
17,Victor Olofsson,L,,81,MED,,,Sweden,31,84,84,84,85,85,81,85,73,82,85,83,82,85,82,84,84,84,84,83,84,86,85,87,85,87,81,,85,82,71,85,1998,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
18,Alexander Holtz,R,11,80,MED,,,Sweden,24,84,84,84,84,84,81,85,73,82,85,83,82,85,81,83,83,83,84,83,83,86,85,87,85,87,80,,85,81,71,85,1991,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
19,Braeden Bowman,R,42,80,LOW,,,Canada,23,84,84,84,84,84,81,85,73,82,85,83,82,85,81,83,83,83,84,83,83,86,85,87,85,87,80,,85,81,71,85,1991,Interpolated (estimated from OVR),,,,,,,,,,,,3,LOW
