Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Jack Eichel,C,"$13,500,000",8,UFA
Mitch Marner,"RW,C","$12,000,000",7,UFA
Mark Stone,RW,"$9,500,000",1,UFA
Tomas Hertl,"C,LW","$6,750,000",4,UFA
William Karlsson,C,"$5,900,000",1,UFA
Ivan Barbashev,LW,"$5,000,000",2,UFA
Nic Dowd,C,"$3,000,000",1,UFA
Brett Howden,"C,LW","$2,500,000",4,UFA
Victor Olofsson,"LW,RW","$1,638,330",1,UFA
Braeden Bowman,RW,"$912,500",1,RFA then UFA
Tanner Laczynski,C,"$900,000",3,UFA
Marc Gatcomb,"C,RW","$875,000",2,UFA
Alexander Holtz,"RW,LW","$835,352",1,RFA then UFA
Alex Pietrangelo,D,"$8,800,000",1,UFA
Rasmus Andersson,RD,"$8,500,000",7,UFA
Shea Theodore,"LD,RD","$7,425,000",6,UFA
Noah Hanifin,LD,"$7,350,000",6,UFA
Jeremy Lauzon,LD,"$4,000,000",6,UFA
Brayden McNabb,LD,"$3,650,000",2,UFA
Dylan Coghlan,D,"$875,000",2,UFA
Parker Wotherspoon,LD,"$500,000",1,UFA
Adin Hill,G,"$6,250,000",5,UFA
Carter Hart,G,"$2,000,000",1,UFA
Alex Weiermair,,"$975,000",3,RFA
Trevor Connelly,LW,"$974,167",3,RFA
Tuomas Uronen,"W,C","$952,500",2,RFA
Trent Swick,LW,"$950,000",2,RFA
Jackson Hallum,F,"$942,500",1,RFA then UFA
Kai Uchacz,"C,RW","$920,000",1,RFA then UFA
Jordan Gustafson,C,"$905,000",1,RFA
Mathieu Cataford,RW,"$901,666",2,RFA
Raphael Lavoie,"C,RW","$900,000",1,UFA-G6 then UFA
Ben Hemmerling,RW,"$896,111",1,RFA
Matyas Sapovaliv,C,"$878,334",1,RFA
Jonas Rondbjerg,"LW,RW","$850,000",1,UFA
Jakub Demek,RW,"$850,000",1,RFA then UFA
Joe Fleming,D,"$850,000",1,RFA then UFA
Ivan Morozov,C,,1,Unsigned RFA/UFA
Jakub Brabenec,"LW,C",,5,Unsigned RFA
Jeremy Davies,D,"$1,150,000",1,UFA
Juho Piiparinen,,"$1,075,000",3,RFA
Bronson Ride,,"$970,500",3,RFA
Viliam Kmec,D,"$908,333",1,RFA
Adam Ginning,LD,"$875,000",2,UFA
Antti Tuomisto,D,"$875,000",2,UFA
Jaycob Megna,D,"$850,000",1,UFA
Ville Heinola,LD,"$850,000",1,UFA-G6 then UFA
Lukas Cormier,D,"$850,000",1,UFA-G6 then UFA
Pavel Moysevich,G,"$980,000",3,RFA
Cameron Whitehead,G,"$937,500",1,RFA then UFA
Carl Lindbom,G,"$900,000",3,RFA then UFA
