Year,Round,Status,PickValue,TradeDetails
2027,1,Own,31.29,
2027,2,Own,5.71,
2027,3,Traded Away,2.05,Nov 12 2024 | Traded Away The Washington Capitals acquired Lars Eller from the Pittsburgh Penguins for 2025 5th Round Pick and 2027 3rd Round Pick
2027,3,Acquired from Ducks,2.05,Mar 5 2026 The Anaheim Ducks acquire John Carlson from the Washington Capitals for a conditional 2026 1st round pick and a 2027 3rd round pick.
2027,3,Acquired from Penguins,2.05,Jun 25 2026 The Pittsburgh Penguins acquire Hendrix Lapierre from the Washington Capitals for a 2027 3rd round pick and a 2028 5th round pick (SJS)
2027,4,Acquired from Devils,0.98,Jun 25 2026 The New Jersey Devils acquire Declan Chisholm from the Washington Capitals for a 2027 4th round pick
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,6,Traded Away,0.29,Jun 26 2025 | Traded Away The Washington Capitals acquired Justin Sourdif from the Florida Panthers for 2026 2nd Round Pick & 2027 6th Round Pick
2027,7,Own,0.14,
2027,7,Acquired from Senators,0.14,Jun 28 2025 The Ottawa Senators acquired a 2025 3rd round pick (#93) from the Washington Capitals for a 2025 3rd round pick (#96) and a 2027 7th round pick
2028,1,Own,31.29,
2028,2,Own,5.71,
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,31.29,
2029,2,Own,5.71,
2029,2,Acquired from Golden Knights,5.71,"Mar 5 2026 The Vegas Golden Knights acquire Nic Dowd from the Washington Capitals for Jesper Vikman, a 2029 2nd round pick and a 2027 3rd round pick (SJS)."
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,31.29,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,31.29,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
