Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Alex Tuch,"RW,C","$10,500,000",8,UFA
Pierre-Luc Dubois,"C,LW","$8,500,000",5,UFA
Jordan Kyrou,RW,"$8,125,000",5,UFA
Tom Wilson,RW,"$6,540,000",5,UFA
Boone Jenner,"C,LW","$5,750,000",4,UFA
Dylan Strome,C,"$5,000,000",2,UFA
Alex Ovechkin,LW,"$4,250,000",1,UFA
Aliaksei Protas,"LW,RW","$3,375,000",3,UFA
Anthony Beauvillier,"LW,RW","$2,750,000",1,UFA
Ethen Frank,"RW,C","$2,000,000",2,UFA
Ryan Leonard,"RW,LW","$950,000",1,RFA
Ilya Protas,"C,LW","$932,500",3,RFA
Ivan Miroshnichenko,"RW,LW","$925,000",2,RFA
Justin Sourdif,"RW,C","$825,000",1,RFA then UFA
Jakob Chychrun,LD,"$9,000,000",7,UFA
Martin Fehervary,LD,"$6,000,000",7,UFA
Matt Roy,RD,"$5,750,000",4,UFA
Rasmus Sandin,"LD,RD","$4,600,000",3,UFA
Vincent Desharnais,RD,"$4,200,000",4,UFA
Timothy Liljegren,RD,"$3,250,000",2,UFA
Cole Hutson,LD,"$952,083",2,RFA
Justin Holl,RD,"$900,000",1,UFA
Logan Thompson,G,"$5,850,000",5,UFA
Charlie Lindgren,G,"$3,000,000",2,UFA
Cal Petersen,G,,0,Unsigned UFA
Oliver Suvanto,,"$1,075,000",3,RFA
Theodor Niederbach,"C,RW","$1,025,000",1,RFA then UFA
Petr Sikora,C,"$995,000",3,RFA
Tyler Kopff,F,"$975,000",1,RFA then UFA
Lynden Lakovic,F,"$974,167",3,RFA
Patrick Thomas,C,"$965,833",2,RFA
Terik Parascak,RW,"$941,667",3,RFA
Eriks Mateiko,"LW,RW","$932,500",3,RFA
Bogdan Trineyev,LW,"$900,000",2,RFA then UFA
Andrew Cristall,LW,"$889,166",2,RFA
Alexander Suzdalev,F,"$864,999",1,RFA
Ludwig Persson,"C,LW","$864,999",1,RFA
Spencer Smallman,"C,RW","$850,000",1,UFA
Jonny Brodzinski,"RW,LW","$850,000",1,UFA
Joshua Dunne,"C,LW","$850,000",1,UFA
Ryan Chesley,D,"$945,833",2,RFA
Leon Muggli,D,"$932,500",3,RFA
David Gucciardi,D,"$930,000",1,RFA then UFA
Cam Allen,D,"$930,000",2,RFA
Dylan McIlrath,RD,"$850,000",1,UFA
Louie Belpedio,D,"$850,000",1,UFA
Jacob MacDonald,"D,LW","$850,000",1,UFA
Clay Stevenson,G,"$850,000",1,UFA
Mitchell Gibson,G,"$812,500",1,UFA
