Year,Round,Status,PickValue,TradeDetails
2027,1,Own,31.29,
2027,2,Traded Away,5.71,Mar 7 2025 | Traded Away The Winnipeg Jets acquired Brandon Tanev from the Seattle Kraken for a 2027 2nd round pick
2027,2,Acquired from Sabres,5.71,"Mar 5 2026 The Buffalo Sabres acquire Logan Stanley and Luke Schenn (50% retained) from the Winnipeg Jets for Jacob Bryson, Isak Rosén, a 2027 2nd round pick and a conditional 2026 4th round pick."
2027,3,Own,2.05,"Feb 2 2024 Sean Monahan trade, conditional 2027 3rd Round Pick transfers from Winnipeg to Montreal if Winnipeg wins 2024 Cup: Condition not met. Feb 2 2024 The Winnipeg Jets acquired Sean Monahan from the Montreal Canadiens for a 2024 1st round pick and a conditional 2027 3rd round pick (Condition not met)"
2027,4,Traded Away,0.98,Mar 7 2025 | Traded Away The Winnipeg Jets acquired Luke Schenn from the Pittsburgh Penguins for a 2026 2nd round pick and a 2027 4th round pick
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,31.29,
2028,2,Own,5.71,
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,31.29,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,31.29,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,31.29,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
