Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Connor Hellebuyck,G,37,92,EXACT,Hybrid,X-Factor,United States,33,,,,86,,,,,,,,,,,,,93,,95,92,,,,,,,,,95,,,1481,Goalie: site OVR + estimated attribute profile,91,87,92,96,91,87,99,95,92,98,92,4.5,EXACT
2,Kyle Connor,L,81,92,EXACT,Sniper,X-Factor,United States,29,91,92,87,93,91,78,84,63,82,81,90,86,95,90,88,93,90,83,83,91,92,94,90,94,90,82,,81,89,70,86,2078,Site,,,,,,,,,,,,4.5,HIGH
3,Mark Scheifele,C,55,92,EXACT,Playmaker,X-Factor,Canada,33,91,92,89,93,91,85,89,80,84,86,88,82,93,89,88,90,90,90,83,88,90,93,89,89,89,83,,83,90,70,87,2099,Site,,,,,,,,,,,,4.5,EXACT
4,Josh Morrissey,D,44,91,EXACT,Offensive D-man,X-Factor,Canada,31,91,92,89,92,92,77,87,55,81,84,90,85,93,91,89,91,89,90,88,89,91,92,91,92,90,83,,82,90,75,85,2085,Site,,,,,,,,,,,,4.5,EXACT
5,Neal Pionk,D,4,87,HIGH,Offensive D-man,X-Factor,United States,31,87,87,84,90,87,77,88,55,83,82,87,81,90,89,85,87,84,86,82,86,89,89,89,90,89,82,,88,86,70,85,2027,Site,,,,,,,,,,,,3.5,EXACT
6,Gabriel Vilardi,C,13,86,MED,Power Forward,X-Factor,Canada,27,89,87,93,88,86,80,87,67,83,83,87,86,91,85,85,84,85,90,83,85,88,87,89,87,89,82,,83,84,70,91,2043,Site,,,,,,,,,,,,4,HIGH
7,Adam Lowry,C,17,84,MED,2 Way Forward,X-Factor,United States,33,85,85,85,83,86,86,89,83,87,86,83,84,84,81,85,83,84,87,89,84,85,82,87,84,87,86,,88,83,83,89,2043,Site,,,,,,,,,,,,3.5,EXACT
8,Cole Perfetti,C,91,84,MED,Playmaker,X-Factor,Canada,24,87,87,84,88,87,78,84,66,81,80,85,83,88,83,84,87,85,84,79,85,88,87,89,88,88,80,,83,83,70,84,2003,Site,,,,,,,,,,,,4,HIGH
9,Dylan DeMelo,D,2,84,MED,2 Way D-Man,,Canada,33,83,82,81,85,83,77,88,55,81,85,82,82,83,81,83,82,81,83,88,82,86,85,88,84,87,84,,87,88,77,85,1983,Site,,,,,,,,,,,,3.5,EXACT
10,Dylan Samberg,D,54,84,MED,Defensive D-man,,United States,27,84,84,83,84,86,80,89,55,87,87,84,83,84,86,83,83,82,88,80,83,87,84,89,87,87,83,,83,82,80,87,2003,Site,,,,,,,,,,,,3.5,MED
