Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Kyle Connor,LW,"$12,000,000",8,UFA
Mark Scheifele,C,"$8,500,000",5,UFA
Gabriel Vilardi,"RW,C","$7,500,000",5,UFA
Cole Perfetti,"RW,LW","$6,000,000",5,UFA
Adam Lowry,C,"$5,000,000",5,UFA
Nino Niederreiter,LW,"$4,000,000",1,UFA
Alex Iafallo,"LW,RW","$3,666,666",2,UFA
Vladislav Namestnikov,"C,LW","$3,000,000",1,UFA
Morgan Barron,"C,LW","$1,850,000",1,UFA
Cole Koepke,"LW,RW","$1,450,000",2,UFA
Viggo Björck,,"$1,075,000",3,RFA
Isak Rosén,"LW,RW","$925,000",2,RFA then UFA
Brad Lambert,"C,RW","$886,666",1,RFA
Noah Gregor,"LW,RW","$850,000",1,UFA
Neal Pionk,RD,"$7,000,000",5,UFA
Josh Morrissey,LD,"$6,250,000",2,UFA
Dylan Samberg,LD,"$5,750,000",2,UFA
Dylan Demelo,RD,"$4,900,000",2,UFA
Mario Ferraro,"LD,RD","$4,000,000",3,UFA
Haydn Fleury,"LD,RD","$950,000",1,UFA
Elias Salomonsson,RD,"$865,000",1,RFA
Jack St. Ivany,RD,"$850,000",1,UFA
Connor Hellebuyck,G,"$8,500,000",5,UFA
Stuart Skinner,G,"$3,750,000",2,UFA
Jacob Julien,C,"$957,500",2,RFA
Kieron Walton,"C,LW","$955,556",3,RFA
Brayden Yager,C,"$940,833",2,RFA
Kevin He,LW,"$932,500",3,RFA
Lucas Wahlin,,"$910,000",1,RFA then UFA
Colby Barlow,LW,"$909,166",2,RFA
Fabian Wagner,"C,RW","$905,556",1,RFA
Danny Zhilkin,C,"$878,333",1,RFA
Walker Duehr,RW,"$875,000",2,UFA
Nikita Chibrikov,"LW,RW","$875,000",2,RFA then UFA
Parker Ford,"C,RW","$812,500",1,UFA-G6 then UFA
Rasmus Kupari,"C,RW",,1,Unsigned RFA/UFA
Garrett Brown,D,"$1,050,000",2,RFA
Alfons Freij,D,"$965,000",3,RFA
Tyrel Bauer,D,"$875,000",2,RFA then UFA
Henry Thrun,LD,"$850,000",1,RFA then UFA
Isaak Phillips,D,"$812,500",1,UFA-G6 then UFA
Thomas Milic,G,"$916,667",1,RFA then UFA
Domenic DiVincentiis,G,"$905,556",1,RFA
Isaac Poulter,G,"$850,000",1,UFA-G6 then UFA
Cole Kehler,G,,0,Unsigned UFA
