name,potential,confidence,hit_potential,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40
Jake Sorensen,0.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,68,68,67,68,68,69,68,68
Connor Sorensen,1,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,69,68,68,67,67,66,67,67,66,65,65
Mason Sorensen,1.5,Green (High),Yes,70,72,73,73,73,73,73,73,73,73,73,73,72,72,72,72,72,72,72,72,72,72,72
Tyler Sorensen,2,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,70,68,68,68,67,68,68,68,69,68,68,69
Owen Sorensen,2.5,Yellow (Medium),Yes,70,74,74,74,74,74,74,74,74,74,74,72,71,70,70,69,68,68,69,69,69,69,68
Ryan Sorensen,3,Green (High),Yes,70,75,77,81,81,81,81,81,80,80,80,80,80,79,79,79,79,78,78,78,78,78,78
Logan Sorensen,3.5,Red (Low),No,70,72,73,74,74,74,74,74,74,74,74,74,73,73,73,72,72,72,72,72,73,73,73
Carter Sorensen,4,Yellow (Medium),Yes,70,74,79,83,84,84,84,84,85,85,85,83,83,84,83,83,83,84,84,83,82,82,82
Wyatt Sorensen,4.5,Green (High),Yes,70,73,76,80,85,86,87,90,90,91,90,89,87,87,86,86,85,85,86,85,84,83,84
Ethan Sorensen,5,Red (Low),No,70,72,73,73,73,73,73,73,73,73,73,71,71,71,72,72,72,71,72,71,71,71,70
Nolan Sorensen,0.5,Yellow (Medium),No,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,68,68
Blake Sorensen,1,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,73,71,70,70,70,70,71,69,68,69,68,68,68
Colton Sorensen,1.5,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,69,69,69,68,68,67,67,67,66,66,66,65
Dylan Sorensen,2,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,67,67,67,67,67,66,66,65,64,64,66
Hunter Sorensen,2.5,Green (High),Yes,70,74,76,76,76,76,76,76,76,76,76,74,74,75,75,74,75,75,74,74,73,73,74
Brady Sorensen,3,Red (Low),No,70,73,73,73,73,73,73,73,73,73,73,72,72,72,72,72,71,71,71,71,71,72,72
Aiden Sorensen,3.5,Yellow (Medium),No,70,73,74,74,75,75,75,75,75,75,75,74,73,72,73,72,73,73,74,74,73,72,71
Cole Sorensen,4,Green (High),Yes,70,76,80,85,87,88,88,88,88,88,88,87,87,86,85,85,86,86,85,85,85,85,86
Landon Sorensen,4.5,Red (Low),No,70,73,73,73,73,73,73,73,73,73,72,72,70,71,71,72,72,72,72,71,69,69,69
Chase Sorensen,5,Yellow (Medium),No,70,75,80,80,80,80,80,80,80,80,80,79,79,79,79,79,78,77,78,77,76,76,76
Jake MacKenzie,0.5,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,72,70,69,70,71,71,72,72,72,71,71,71,70
Connor MacKenzie,1,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,68,68,68,68,67,68,68,67,68,68,68,68
Mason MacKenzie,1.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,70,69,68,68,68,67,67,68,68,67,67
Tyler MacKenzie,2,Green (High),Yes,70,71,73,73,73,73,73,73,73,73,73,72,71,71,71,71,70,71,70,69,69,69,69
Owen MacKenzie,2.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,70,70,69,70,70,70,70,70,69,68,69,69
Ryan MacKenzie,3,Yellow (Medium),Yes,70,74,75,77,77,77,77,77,77,77,77,76,74,74,73,74,74,73,72,71,70,68,69
Logan MacKenzie,3.5,Green (High),Yes,70,76,82,82,84,84,84,84,84,84,84,83,83,82,82,82,81,80,81,81,80,79,80
Carter MacKenzie,4,Red (Low),No,70,72,72,72,72,72,72,72,72,72,71,70,69,69,70,70,68,69,68,68,69,69,70
Wyatt MacKenzie,4.5,Yellow (Medium),No,70,75,76,76,76,76,76,76,76,76,76,76,75,75,75,75,74,74,74,74,74,74,74
Ethan MacKenzie,5,Green (High),Yes,70,73,75,77,79,83,87,90,91,90,91,89,88,89,87,87,87,87,87,87,86,85,85
Nolan MacKenzie,0.5,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,69,70,70,69,69,69,69
Blake MacKenzie,1,Yellow (Medium),No,70,70,70,70,70,70,70,70,70,70,70,69,68,69,69,69,69,69,68,68,68,68,68
Colton MacKenzie,1.5,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,73,72,72,72,72,72,72,71,70,70,69,70,70
Dylan MacKenzie,2,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,69,68,68,68,69,69,69,69
Hunter MacKenzie,2.5,Yellow (Medium),No,70,71,71,71,71,71,71,71,71,71,70,69,69,69,69,69,69,69,69,69,69,69,68
Brady MacKenzie,3,Green (High),Yes,70,75,79,80,80,80,80,80,80,80,79,78,78,78,78,79,79,79,79,79,79,77,77
Aiden MacKenzie,3.5,Red (Low),No,70,73,73,73,73,73,73,73,73,73,73,73,72,72,72,72,71,72,72,72,72,73,73
Cole MacKenzie,4,Yellow (Medium),Yes,70,75,78,82,85,85,85,85,85,85,85,85,82,83,83,83,82,81,82,81,79,78,79
Landon MacKenzie,4.5,Green (High),Yes,70,74,78,80,82,85,88,90,90,91,91,91,90,90,91,91,91,91,90,89,89,89,87
Chase MacKenzie,5,Red (Low),No,70,72,72,73,73,73,73,73,73,73,73,72,71,71,71,70,71,70,70,70,70,69,70
Jake Reilly,0.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,68,68,69,68,68,69,69,69,69,68,68
Connor Reilly,1,Green (High),Yes,70,72,73,73,73,73,73,73,73,73,73,73,73,72,72,72,72,72,72,72,72,71,71
Mason Reilly,1.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,69,67,68,68,69,69,69,69,69,68,68,68
Tyler Reilly,2,Yellow (Medium),No,70,70,70,70,70,70,70,70,70,70,69,68,69,69,68,67,68,67,67,68,67,68,68
Owen Reilly,2.5,Green (High),Yes,70,74,75,77,77,77,77,77,77,77,77,77,75,74,73,74,75,73,73,73,74,74,75
Ryan Reilly,3,Red (Low),Yes,70,75,75,75,75,75,75,75,75,75,75,75,75,74,73,73,73,74,74,74,74,74,74
Logan Reilly,3.5,Yellow (Medium),Yes,70,74,77,81,81,81,81,81,81,81,81,80,79,80,78,79,78,79,79,79,78,78,79
Carter Reilly,4,Green (High),Yes,70,73,78,82,86,87,87,87,86,86,86,86,84,85,86,84,85,84,84,84,85,84,82
Wyatt Reilly,4.5,Red (Low),No,70,73,78,78,78,78,78,78,78,78,78,78,78,77,77,77,77,76,76,77,77,77,77
Ethan Reilly,5,Yellow (Medium),Yes,70,74,77,81,87,89,91,92,92,92,91,90,89,89,90,89,90,88,88,87,86,87,85
Nolan Reilly,0.5,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,71,70,68,67,68,69,68,66,65,65,65,65,65
Blake Reilly,1,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,69,67,67,67,67,68,68,68,67,67,67,68
Colton Reilly,1.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,69,69,69,69,69
Dylan Reilly,2,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,73,71,71,71,72,71,72,71,71,71,70,70,70
Hunter Reilly,2.5,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,70,68,68,68,68,67,66,67,66,67,66,67
Brady Reilly,3,Yellow (Medium),Yes,70,75,76,77,77,77,77,77,77,77,77,77,77,77,77,76,76,76,75,73,73,72,73
Aiden Reilly,3.5,Green (High),Yes,70,74,76,79,82,83,83,84,84,84,82,82,80,80,81,79,79,79,78,78,78,77,77
Cole Reilly,4,Red (Low),Yes,70,75,78,80,83,83,83,83,83,83,83,81,80,80,81,80,80,80,80,80,79,79,78
Landon Reilly,4.5,Yellow (Medium),Yes,70,73,77,79,84,85,88,88,88,87,88,87,86,86,87,87,87,86,86,85,85,84,83
Chase Reilly,5,Green (High),Yes,70,73,77,82,87,87,91,91,91,92,91,88,88,86,87,86,87,85,84,85,84,84,83
Jake Novak,0.5,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,68,68,68,68,68,68,68,68,68,69,68,67
Connor Novak,1,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,68,68,69,69,69,68
Mason Novak,1.5,Green (High),Yes,70,72,73,73,73,73,73,73,73,73,73,73,72,72,71,71,71,71,72,71,69,70,70
Tyler Novak,2,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,68,68,68
Owen Novak,2.5,Yellow (Medium),Yes,70,74,74,74,74,74,74,74,74,74,74,74,73,73,73,73,72,71,71,72,72,72,72
Ryan Novak,3,Green (High),Yes,70,73,77,78,79,79,80,80,80,80,79,78,77,77,78,78,76,76,76,76,76,77,77
Logan Novak,3.5,Red (Low),Yes,70,73,76,78,78,78,78,78,78,78,78,78,76,76,75,75,76,76,75,76,76,76,76
Carter Novak,4,Yellow (Medium),No,70,72,73,73,73,73,73,73,73,73,73,71,69,70,69,67,66,68,67,66,66,65,64
Wyatt Novak,4.5,Green (High),Yes,70,74,78,80,84,85,86,88,88,90,90,89,88,89,88,88,86,87,87,86,85,85,84
Ethan Novak,5,Red (Low),No,70,73,75,76,76,76,76,76,76,76,76,76,74,75,75,74,74,74,74,74,72,72,73
Nolan Novak,0.5,Yellow (Medium),No,70,70,70,70,70,70,70,70,70,70,70,69,69,70,68,69,68,67,66,66,66,66,66
Blake Novak,1,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,73,73,71,71,70,71,71,71,71,72,72,72,71
Colton Novak,1.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,68,68,68,68,68,67,67,68,67,66,66,67
Dylan Novak,2,Yellow (Medium),No,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,68,68,69,68,68,68
Hunter Novak,2.5,Green (High),Yes,70,75,76,76,76,76,76,76,76,76,76,75,75,74,74,74,74,75,75,74,74,74,73
Brady Novak,3,Red (Low),No,70,71,71,71,71,71,71,71,71,71,71,69,69,69,69,69,69,67,68,68,68,68,68
Aiden Novak,3.5,Yellow (Medium),Yes,70,74,77,80,81,81,81,81,81,81,81,81,81,81,81,80,79,79,79,79,78,76,75
Cole Novak,4,Green (High),Yes,70,75,79,84,86,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,87,87,85
Landon Novak,4.5,Red (Low),No,70,75,75,76,76,76,76,76,76,76,76,75,75,75,74,74,74,74,74,74,75,74,73
Chase Novak,5,Yellow (Medium),Yes,70,74,80,83,87,88,91,92,92,92,90,89,89,91,89,90,90,90,90,89,89,89,89
Jake Petrov,0.5,Green (High),Yes,70,72,72,72,73,73,73,73,73,73,73,73,71,70,70,70,69,68,68,67,67,67,67
Connor Petrov,1,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,69,68,69,69,69,69,69
Mason Petrov,1.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,68,68,68,67,67,68,68,68,68,68,68
Tyler Petrov,2,Green (High),Yes,70,72,73,73,73,73,73,73,73,73,73,73,73,73,72,71,71,71,72,71,71,72,71
Owen Petrov,2.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,69,68,68,68,68,67,67,66,66,66,65,65
Ryan Petrov,3,Yellow (Medium),No,70,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,71
Logan Petrov,3.5,Green (High),Yes,70,74,76,81,83,83,84,84,84,84,84,83,81,81,80,79,77,77,76,76,77,76,77
Carter Petrov,4,Red (Low),Yes,70,74,79,81,82,82,82,82,81,81,81,79,77,77,77,78,77,77,76,77,77,75,75
Wyatt Petrov,4.5,Yellow (Medium),Yes,70,75,78,84,89,89,89,89,89,89,89,89,88,88,88,88,88,86,86,87,87,88,87
Ethan Petrov,5,Green (High),Yes,70,75,80,83,87,91,92,94,94,94,94,93,92,92,93,92,92,91,89,88,89,90,89
Nolan Petrov,0.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,69,67,67,67,66,65,64,65,65,65,64,65,65
Blake Petrov,1,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,67,67,66,67,67,66,65,65
Colton Petrov,1.5,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,73,72,70,70,70,69,68,69,70,70,70,71,72
Dylan Petrov,2,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,69,69,68,67,66
Hunter Petrov,2.5,Yellow (Medium),No,70,71,71,71,71,71,71,71,71,71,71,70,69,69,68,69,68,68,69,67,69,69,70
Brady Petrov,3,Green (High),Yes,70,74,79,79,79,80,80,80,80,80,80,78,77,78,77,77,78,77,78,78,78,78,77
Aiden Petrov,3.5,Red (Low),No,70,72,73,73,73,73,73,73,73,73,73,72,70,70,71,72,71,70,70,70,71,71,71
Cole Petrov,4,Yellow (Medium),Yes,70,72,75,81,85,85,85,85,85,85,83,83,83,83,83,84,84,84,84,83,82,82,82
Landon Petrov,4.5,Green (High),Yes,70,74,76,80,83,86,90,91,91,91,90,88,86,88,89,89,88,87,87,87,86,86,85
Chase Petrov,5,Red (Low),No,70,73,74,74,74,74,74,74,74,74,74,72,71,72,72,72,72,71,70,71,72,71,71
Jake Larsson,0.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,68,66,66,67,67,65,66,67,68,68,68
Connor Larsson,1,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,73,72,70,70,69,70,70,69,70,70,70,69,68
Mason Larsson,1.5,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,68,67,66,66,66,65,65,65,66,65,65,64
Tyler Larsson,2,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,68,66,65,64,65,65,65,65,65,65,66,65
Owen Larsson,2.5,Green (High),Yes,70,73,76,77,77,77,77,77,77,77,77,77,76,76,76,75,75,75,75,74,75,75,74
Ryan Larsson,3,Red (Low),No,70,71,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71,71,71,71,71,70,70
Logan Larsson,3.5,Yellow (Medium),Yes,70,74,77,82,82,82,82,82,82,82,82,82,80,80,81,81,81,80,80,80,80,80,80
Carter Larsson,4,Green (High),Yes,70,72,77,81,85,86,86,87,87,87,87,86,86,86,87,87,87,87,86,86,85,86,85
Wyatt Larsson,4.5,Red (Low),Yes,70,74,76,81,87,87,87,87,87,87,87,87,87,87,87,86,86,86,86,85,85,85,85
Ethan Larsson,5,Yellow (Medium),Yes,70,75,79,82,86,86,88,91,91,91,91,91,90,88,89,89,88,87,88,88,88,87,87
Nolan Larsson,0.5,Green (High),Yes,70,71,73,73,73,73,73,73,73,73,72,71,71,71,71,71,71,70,70,71,71,70,70
Blake Larsson,1,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,68,68,68,69,69,69,68,66,66,66,66,67
Colton Larsson,1.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,68,66,67,67,67,67,67,67,67,66,67,67
Dylan Larsson,2,Green (High),Yes,70,71,72,72,73,73,73,73,73,73,73,72,71,72,72,72,71,70,70,71,70,71,71
Hunter Larsson,2.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,69,69,69,70,69,70,70,70,70,70,70,70
Brady Larsson,3,Yellow (Medium),Yes,70,73,77,77,77,77,77,77,77,77,77,77,77,77,77,77,76,75,75,75,74,75,75
Aiden Larsson,3.5,Green (High),Yes,70,73,78,83,84,84,84,84,84,84,83,82,82,82,82,81,82,82,81,79,80,80,81
Cole Larsson,4,Red (Low),Yes,70,75,78,81,82,82,82,82,82,82,82,81,81,81,81,82,81,81,81,80,80,80,80
Landon Larsson,4.5,Yellow (Medium),No,70,74,74,74,74,74,74,74,74,74,74,73,72,73,72,73,72,73,72,72,72,72,71
Chase Larsson,5,Green (High),Yes,70,75,79,81,83,85,87,88,90,92,93,92,90,90,91,90,91,90,90,91,90,89,87
Jake Whitfield,0.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,70,69,69,68,68,68,68,68,67,66,67,67
Connor Whitfield,1,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,68,69,69,68,68,68
Mason Whitfield,1.5,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,73,72,72,72,72,72,72,71,70,70,71,71,71
Tyler Whitfield,2,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,69,68,68,68,68,68,67,66,66,65,65,65
Owen Whitfield,2.5,Yellow (Medium),Yes,70,75,75,75,75,75,75,75,75,75,75,74,72,72,73,72,71,71,72,72,72,72,71
Ryan Whitfield,3,Green (High),Yes,70,74,77,81,81,81,81,81,81,81,79,79,77,78,78,78,79,79,77,77,76,78,79
Logan Whitfield,3.5,Red (Low),No,70,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71
Carter Whitfield,4,Yellow (Medium),Yes,70,74,76,80,85,85,85,85,85,85,84,84,84,84,84,84,84,84,84,84,84,84,84
Wyatt Whitfield,4.5,Green (High),Yes,70,74,79,82,87,90,90,92,92,92,92,92,91,90,89,89,88,89,89,90,89,89,88
Ethan Whitfield,5,Red (Low),No,70,74,75,75,75,75,75,75,75,75,75,75,73,74,74,74,72,72,73,73,73,72,72
Nolan Whitfield,0.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,68,68
Blake Whitfield,1,Green (High),Yes,70,72,73,73,73,73,73,73,73,73,72,71,70,70,70,70,70,70,70,70,71,71,71
Colton Whitfield,1.5,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,70,69,68,67,67,68,68,67,67,66,65,65
Dylan Whitfield,2,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,69,68,69,69,69,69,69,70,70,70,70
Hunter Whitfield,2.5,Green (High),Yes,70,74,76,76,76,76,76,76,76,76,76,74,74,73,73,74,75,75,76,76,75,76,76
Brady Whitfield,3,Red (Low),No,70,70,71,71,71,71,71,71,71,71,71,71,70,70,70,70,70,70,70,70,69,70,69
Aiden Whitfield,3.5,Yellow (Medium),No,70,72,75,75,75,75,75,75,75,75,75,75,73,73,74,73,73,72,73,71,72,72,73
Cole Whitfield,4,Green (High),Yes,70,75,78,83,88,88,88,88,88,88,87,85,84,85,86,86,86,84,85,85,85,84,83
Landon Whitfield,4.5,Red (Low),Yes,70,74,79,81,83,84,85,85,85,86,86,85,85,85,84,84,84,83,83,83,83,84,83
Chase Whitfield,5,Yellow (Medium),No,70,74,80,80,80,80,80,80,80,80,80,80,79,79,79,78,78,78,78,78,77,77,78
Jake Duncan,0.5,Green (High),Yes,70,72,72,72,73,73,73,73,73,73,73,72,71,72,72,72,72,72,71,71,72,72,71
Connor Duncan,1,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,69,67,67,67,68,66,65,64,65,64,64,65
Mason Duncan,1.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,68,69,68,67,67,66,67
Tyler Duncan,2,Green (High),Yes,70,72,72,73,73,73,73,73,73,73,73,73,72,72,72,72,71,71,69,70,69,70,70
Owen Duncan,2.5,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,69,67,68,68,69,68,68,69,68,68,69,69
Ryan Duncan,3,Yellow (Medium),Yes,70,73,76,77,77,77,77,77,77,77,77,76,76,76,76,76,76,76,75,74,74,73,72
Logan Duncan,3.5,Green (High),Yes,70,74,76,80,85,85,85,85,85,85,85,84,84,84,84,84,84,84,84,83,83,83,83
Carter Duncan,4,Red (Low),No,70,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
